Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S08,Lee Sin,219,95,0.07,100,119,0.46,2.9,7,1.38125,4.9,218,328,-4.5,-5,-74
S08,Heimerdinger,93,189,0.06,45,48,0.48,3,4.2,1.408333333,8.5,636,385,1.5,39,90
S08,Anivia,113,166,0.06,62,51,0.55,5.5,5.4,1.492361111,9.5,459,406,-0.6,60,184
S08,Rumble,161,117,0.06,80,81,0.5,3.2,7.4,1.453472222,8,519,374,4.4,163,133
S08,Leona,186,89,0.06,102,84,0.55,2.7,7.5,1.440972222,2,125,260,12,-22,4
S08,Kled,142,130,0.06,69,73,0.49,4,5.4,1.41875,8.5,374,391,-2.1,17,-69
S08,Talon,88,162,0.05,53,35,0.6,3.4,5.6,1.417361111,9.9,448,437,13.3,434,785
S08,Maokai,205,40,0.05,99,106,0.48,2.6,8.4,1.427083333,7.2,354,335,-9.4,-287,-160
S08,Zilean,122,119,0.05,57,65,0.47,4.4,5.9,1.439583333,4.1,330,298,-10.5,-195,202
S08,VelKoz,127,112,0.05,63,64,0.5,4.3,6.4,1.528472222,8.8,655,389,5.6,114,187
S08,Singed,115,113,0.05,68,47,0.59,3.7,7.6,1.316666667,8.4,382,376,-3.8,-63,43
S08,Draven,79,145,0.05,48,31,0.61,3.8,3.9,1.34375,9.3,535,466,12.7,790,226
S08,Kassadin,115,105,0.05,46,69,0.4,3.6,8.1,1.405555556,9.3,498,403,-5.7,-328,-129
S08,Soraka,114,86,0.04,59,55,0.52,3.7,7.5,1.375694444,0.6,200,239,-14.5,-171,-22
S08,Sivir,136,63,0.04,60,76,0.44,4,7.8,1.509027778,10.8,590,438,-2.5,-250,-21
S08,Mordekaiser,81,100,0.04,48,33,0.59,4,5.3,1.300694444,7.9,366,389,-2.7,44,542
S08,Rengar,68,77,0.03,28,40,0.41,2.2,6.5,1.533333333,5.9,255,346,7.2,171,166
S08,RekSai,100,45,0.03,49,51,0.49,2.8,6.5,1.433333333,5.2,222,333,3.7,152,44
S08,Renekton,82,53,0.03,32,50,0.39,2,8.1,1.329166667,9,364,399,10.4,269,49
S08,Nunu,65,67,0.03,33,32,0.51,3.1,4.6,1.440277778,3.5,94,289,-25.3,-600,-480
