Season,Tourament_type,Tourament_Name,Region,Game_No,Game_Duration,First_Gane,Last_Game
S08,LMS,LMS Spring 2018,TW,133,13:34:00,Saturday 20 January 2018,Sunday 1 April 2018
S08,CBLOL,CBLOL Summer Playoffs 2018,BR,18,12:43:00,Saturday 17 March 2018,Saturday 7 April 2018
S08,LCL,LCL Spring Playoffs 2018,CIS,12,08:46:00,Saturday 17 March 2018,Sunday 1 April 2018
S08,CLS,CLS Closing 2018,LAS,84,09:11:00,Saturday 16 June 2018,Sunday 26 August 2018
S08,LPL,LPL Regional Qualifiers 2018,CN,9,12:31:00,Saturday 15 September 2018,Sunday 16 September 2018
S08,EU Masters,EU Masters Spring 2018,EUW,57,09:54:00,Saturday 14 April 2018,Sunday 29 April 2018
S08,LMS,LMS Spring Playoffs 2018,TW,10,10:28:00,Saturday 14 April 2018,Sunday 22 April 2018
S08,CBLOL,CBLOL Winter Playoffs 2018,BR,16,09:00:00,Saturday 11 August 2018,Saturday 8 September 2018
S08,LCL,LCL Spring 2018,CIS,58,10:52:00,Saturday 10 February 2018,Sunday 11 March 2018
S08,LPLOL,LPLOL Summer 2018,PT,48,07:24:00,Monday 21 May 2018,Monday 9 July 2018
S08,Kespa,Kespa Cup 2017,KR,46,13:09:00,Monday 20 November 2017,Saturday 2 December 2017
S08,EU Masters,EU Masters Summer 2018,EUW,42,09:49:00,Monday 17 September 2018,Sunday 30 September 2018
S08,LPL,LPL Spring 2018,CN,317,10:18:00,Monday 15 January 2018,Sunday 8 April 2018
S08,LPL,LPL Summer 2018,CN,328,09:28:00,Monday 11 June 2018,Sunday 2 September 2018
S08,EU Masters,EU Masters 2018 Summer Play-In,EUW,23,08:20:00,Monday 10 September 2018,Thursday 13 September 2018
S08,LJL,LJL Spring 2018,JP,69,11:14:00,Friday 9 February 2018,Friday 30 March 2018
S08,LMS,LMS Summer Playoffs 2018,TW,10,09:13:00,Friday 7 September 2018,Saturday 15 September 2018
S08,LLN,LLN Summer Playoffs 2018,LAN,19,12:03:00,Friday 31 August 2018,Saturday 8 September 2018
S08,EU LCS,EU LCS Summer Playoffs 2018,EUW,24,08:28:00,Friday 24 August 2018,Sunday 9 September 2018
S08,EU LCS,EU LCS Spring Playoffs 2018,EUW,24,10:05:00,Friday 23 March 2018,Sunday 8 April 2018
S08,LJL,LJL Summer 2018,JP,75,10:24:00,Friday 22 June 2018,Saturday 11 August 2018
S08,EU LCS,EU LCS Spring 2018,EUW,91,14:47:00,Friday 19 January 2018,Saturday 17 March 2018
S08,EU LCS,EU LCS Summer 2018,EUW,93,09:23:00,Friday 15 June 2018,Sunday 19 August 2018
S08,EU LCS,EU LCS Regional Qualifiers 2018,EUW,14,11:01:00,Friday 14 September 2018,Sunday 16 September 2018
S08,Challenge France,Challenge France 2017,EUW,41,08:34:00,Friday 10 November 2017,Wednesday 29 November 2017
S08,VCS,VCS Spring 2018,VN,134,07:57:00,Thursday 18 January 2018,Sunday 18 March 2018
S08,VCS,VCS Spring Playoffs 2018,VN,13,10:51:00,Friday 30 March 2018,Saturday 7 April 2018
S08,VCS,VCS Summer 2018,VN,130,05:39:00,Thursday 21 June 2018,Sunday 19 August 2018
S08,VCS,VCS Summer Playoffs 2018,VN,13,06:10:00,Friday 7 September 2018,Saturday 22 September 2018
S08,World Championship,World Championship 2018,WR,77,08:30:00,Wednesday 10 October 2018,Saturday 3 November 2018
S08,World Championship,World Championship Play-In 2018,WR,42,07:37:00,Monday 1 October 2018,Sunday 7 October 2018
S07,Mid-Season,Mid-Season Invitational 2017,WR,42,11:51:00,Wednesday 10 May 2017,Sunday 21 May 2017
S07,MSI,MSI Play-In 2017,WR,36,10:01:00,Friday 28 April 2017,Saturday 6 May 2017
S07,NA,NA CS Spring 2017,NA,41,13:02:00,Thursday 26 January 2017,Thursday 16 March 2017
S07,NA,NA CS Summer 2017,NA,82,09:54:00,Thursday 8 June 2017,Friday 28 July 2017
S07,NA,NA LCS Regional Qualifiers 2017,NA,11,10:41:00,Friday 8 September 2017,Sunday 10 September 2017
S07,NA,NA LCS Spring 2017,NA,221,13:14:00,Saturday 21 January 2017,Sunday 26 March 2017
S07,NA,NA LCS Spring Playoffs 2017,NA,24,11:11:00,Saturday 8 April 2017,Sunday 23 April 2017
S07,NA,NA LCS Spring Promotion 2018,NA,19,12:23:00,Friday 11 August 2017,Sunday 13 August 2017
S07,NA,NA LCS Summer 2017,NA,226,11:12:00,Saturday 3 June 2017,Sunday 6 August 2017
S07,NA,NA LCS Summer Playoffs 2017,NA,23,13:34:00,Saturday 19 August 2017,Sunday 3 September 2017
S07,NA,NA LCS Summer Promotion 2017,NA,22,12:48:00,Saturday 1 April 2017,Sunday 2 April 2017
S07,CBLOL-LLN-CLS,CBLOL-LLN-CLS Rift Rivals 2017,WR,22,13:33:00,Wednesday 5 July 2017,Saturday 8 July 2017
S07,EU-NA,EU-NA Rift Rivals 2017,WR,21,11:17:00,Wednesday 5 July 2017,Saturday 8 July 2017
