Season,Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
S08,Mordekaiser Mordekaiser,81,100,4%,48,33,59%,4,5.3,31:13:00,7.9,366,389,-2.7,44,542
S08,Rengar Rengar,68,77,3%,28,40,41%,2.2,6.5,36:48:00,5.9,255,346,7.2,171,166
S08,RekSai RekSai,100,45,3%,49,51,49%,2.8,6.5,34:24:00,5.2,222,333,3.7,152,44
S08,Renekton Renekton,82,53,3%,32,50,39%,2,8.1,31:54:00,9,364,399,10.4,269,49
S08,Nunu Nunu,65,67,3%,33,32,51%,3.1,4.6,34:34:00,3.5,94,289,-25.3,-600,-480
S08,Aurelion Sol Aurelion Sol,59,71,3%,29,30,49%,4.8,6.6,34:34:00,8.9,495,398,-4.3,64,-43
S08,Viktor Viktor,95,28,3%,37,58,39%,3.1,6.8,34:06:00,9.3,590,396,1.1,-14,77
S08,Lissandra Lissandra,68,52,3%,36,32,53%,3.3,7.9,32:01:00,8.8,407,386,16.7,308,421
S08,Veigar Veigar,61,55,2%,32,29,52%,4.3,6.1,33:53:00,8.8,468,397,-11.6,-269,-178
S08,Miss Fortune Miss Fortune,70,39,2%,34,36,49%,3.9,6.4,34:55:00,8.3,551,395,-2.1,15,22
S08,Jinx Jinx,70,37,2%,36,34,51%,4.6,7.3,34:10:00,10.6,648,450,0,53,-26
S08,Ziggs Ziggs,64,38,2%,33,31,52%,3.6,7.1,35:25:00,9.4,729,403,2.6,-48,-8
S08,Illaoi Illaoi,39,63,2%,16,23,41%,1.1,8.1,34:39:00,8.9,535,388,11.9,68,-11
