Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
paiN Gaming,S9,BR,21,47.60%,1.2,1781,-6,11:34:00,14.5,12.1,5.7,6.5,42.9,57.1,1.52,33.5,0.57,57.1,0.48,-0.1,368,0.52,42.5,32.1,1808,3.6,1.46,1.64
Penguins,S9,ES,46,47.80%,0.86,1752,-64,10:32:00,12,14,5.9,6.5,54.3,52.2,2.3,48.7,0.72,71.7,0.87,0.4,59,0.67,40.2,31.4,1753,3.5,1.33,1.26
Phelan Gaming,S9,UK,10,30.00%,0.66,1638,-182,08:55:00,9.4,14.3,3.8,8.7,50,30,2.2,45,0.4,40,0.8,-1.2,-2215,0.4,27.8,30.2,1785,3.6,1.45,1.2
Piast Gliwice Esports,S9,PL,20,35.00%,0.75,1694,-184,08:02:00,11.4,15.1,4.5,7.3,35,50,1.45,41.1,0.4,40,0.6,-0.6,-1497,0.5,35.1,31.9,1837,3.4,1.49,1.16
piratesports,S10,PL,23,43.50%,0.84,1723,-97,09:44:00,12.4,14.8,5,6.4,47.8,47.8,2.3,48.2,0.61,60.9,0.87,0.1,-436,0.7,42.8,30.9,1667,3.4,1.39,1.29
Pixel eSports Club,S9,LAT,46,37.00%,0.73,1732,-93,10:22:00,9.8,13.5,5.8,6.8,45.7,52.2,2.02,44.7,0.33,32.6,0.87,0,-175,0.72,42,31.8,1732,3.3,1.45,1.35
Pompa Team,S9,PL,29,72.40%,1.42,1885,203,06:33:00,14,9.9,7.2,3.7,51.7,72.4,2.52,73.8,0.52,51.7,1.03,1.1,1735,0.86,71.4,33.8,1891,2.7,0.96,1.14
PRIDE,S10,PL,39,53.80%,1.05,1780,9,08:42:00,12.6,11.8,5.8,5.9,51.3,41,2.13,47.2,0.38,38.5,0.82,-0.1,77,0.77,50.7,32.1,1779,3.1,1.3,1.27
ProGaming eSports,S9,BR,21,9.50%,0.61,1642,-256,09:46:00,7.7,12.5,2.9,9.4,52.4,19,0.62,14.9,0.33,33.3,0.24,-1.1,-2319,0.19,10.8,31.7,1535,3.4,1.4,1.18
Qlash Forge,S9,IT,36,63.90%,1.34,1824,105,10:56:00,15.6,11.6,7.8,4.9,50,50,2.86,59.7,0.56,55.6,1.22,0.1,760,0.89,53.3,31.4,1978,3.1,1.37,1.25
QTV Gaming,S9,VN,73,43.80%,0.88,1801,-68,08:19:00,13.1,14.8,5.9,6.6,50.7,50.7,2.15,49.9,0.47,47.9,0.85,0,-703,0.73,47.1,32.4,1761,3.5,1.42,1.48
R-SIXTEAM,S9,PL,27,37.00%,0.92,1731,-100,10:16:00,13,14,5.1,7,44.4,51.9,1.7,42.2,0.41,40.7,0.63,-0.3,-394,0.67,43.7,31.2,1950,3,1.03,1.16
Racoon,S9,IT,34,38.20%,0.78,1722,-117,08:47:00,13.4,17.2,5.5,6.6,55.9,44.1,2.21,51.1,0.68,67.6,0.68,-0.4,-682,0.56,43.8,29.4,1884,3,1.14,1.13
Rainbow7,S9,LAT,57,54.40%,1.02,1818,38,09:32:00,11.5,11.3,6.7,5.4,36.8,38.6,2.37,55,0.49,50,0.89,-0.3,-491,0.86,55.2,33.3,1752,3.5,1.33,1.4
Random 5,S9,EUW,5,20.00%,0.62,1677,-238,05:11:00,9.6,15.2,2.6,8.4,40,20,1,25,0.4,40,0.8,-0.2,-811,0.4,20,30.8,1466,2.6,0.92,1.01
Rascal Jester,S9,JP,42,26.20%,0.61,1639,-248,07:29:00,10.1,16.6,3.4,7.7,45.2,23.8,1.71,41,0.48,47.6,0.67,-0.6,-1390,0.48,33.8,29.8,1698,3,1.07,1.21
Redemption POA,S9,BR,47,44.70%,0.91,1758,-57,10:47:00,12.3,13.6,5.8,6.6,42.6,38.3,2.53,52.7,0.34,34.8,1.02,-0.3,-293,0.74,43.6,32.1,1810,3.6,1.48,1.34
ROG Esport,S9,FR,38,47.40%,1,1787,-30,08:53:00,14.9,14.9,5.8,6.1,44.7,57.9,2.55,56.8,0.39,40.5,0.89,0.1,-415,0.68,46.9,31,1994,3.4,1.48,1.27
Rogue,S9,EUW,43,30.20%,0.83,1702,-164,08:01:00,11,13.3,4.5,7.5,41.9,37.2,1.53,36.2,0.47,46.5,0.67,-0.5,-1407,0.35,32.9,31.2,1595,3.3,1.22,1.19
Rogue Esports Club,S9,PL,62,69.40%,1.4,1886,183,08:51:00,15.1,10.8,7.6,4.1,56.5,64.5,2.48,59.6,0.52,51.6,0.89,0.5,1210,0.81,61.4,33,1951,3.2,1.14,1.22
Rogue Warriors,S9,CN,70,31.40%,0.75,1746,-171,08:08:00,10.8,14.4,4.2,7.6,15.7,14.3,1.69,38.9,-,-,-,-,-,0.47,32.8,32.1,1700,3.5,1.3,1.31
RoX,S9,CIS,28,39.30%,0.93,1744,-34,06:37:00,11.9,12.8,4.5,6.2,50,46.4,1.61,41.7,0.46,48.1,0.93,0.2,371,0.43,37.5,30.5,1806,3.1,1.28,1.18
Royal Never Give Up,S9,CN,93,62.40%,1.24,1857,79,08:30:00,14.2,11.5,6.8,5,29,34.4,2.29,55.3,0.03,42.9,1.14,0.1,530,0.66,57.3,32.7,1795,3.8,1.48,1.73
Royal Youth,S9,TR,60,71.70%,1.29,1859,167,07:49:00,14.4,11.1,7.4,4,61.7,70,2.25,63.2,0.62,62.7,0.93,0.7,1003,0.78,63.8,32.2,1845,3.3,1.15,1.37
S2V Esports,S9,ES,36,36.10%,0.79,1738,-82,09:52:00,12.1,15.2,5,7.1,41.7,38.9,1.92,39,0.19,19.4,0.81,-0.3,-600,0.56,36.4,31.6,1943,3.1,1.22,1.27
SAMCLAN Esports Club,S9,PT,21,33.30%,0.85,1700,-153,08:17:00,13.9,16.4,3.9,7.6,19,23.8,1.95,41.7,0.48,47.6,0.86,-0.5,-1306,0.52,33.3,29.9,1755,2.6,0.9,1.06
Samsung Morning Stars,S9,IT,42,57.10%,1.08,1842,110,07:03:00,14.8,13.7,6.5,5.4,47.6,59.5,1.95,51.8,0.48,48.8,0.64,0.3,684,0.81,61.5,31.2,1927,3,0.97,1.3
Sandbox Gaming,S9,KR,99,57.60%,0.92,1816,38,09:58:00,10.5,11.4,6.6,4.8,45.5,61.6,2.69,60.4,0.51,51.5,0.91,0.1,175,0.78,56.9,34.6,1731,3.9,1.48,1.94
Sengoku Gaming,S9,JP,42,40.50%,0.77,1731,-62,09:57:00,10.2,13.2,5.3,6.5,47.6,59.5,1.98,46,0.4,41.5,0.93,0.2,127,0.67,48.3,32,1652,3.3,1.28,1.55
SK Gaming,S9,EUW,42,42.90%,0.83,1772,-54,08:58:00,11.5,13.8,5.5,6.8,50,50,1.81,47.7,0.38,40,0.66,-0.1,-494,0.67,53.1,32.5,1793,3.2,1.28,1.4
SK Gaming Prime,S9,DE,17,70.60%,1.34,1868,180,10:52:00,14.6,10.9,8.1,3.9,41.2,70.6,3.24,67.1,0.59,58.8,1,0.6,1727,1.12,72.5,32.9,2054,3.6,1.26,1.36
SK Telecom T1,S9,KR,141,67.40%,1.41,1873,133,09:48:00,12.7,8.9,7.2,4.6,59.6,53.9,2.83,62.3,0.57,57.1,0.94,0.1,475,0.77,61,35,1772,4.4,1.55,1.77
Solary,S9,FR,28,14.30%,0.65,1635,-316,07:00:00,10.6,16.3,2.4,8.8,32.1,21.4,1.5,33.9,0.32,33.3,0.71,-1.1,-2549,0.46,31.5,29.5,1612,2.9,1.28,1.09
Splyce,S9,EUW,78,56.40%,1.08,1851,51,10:52:00,13.9,12.9,6.8,6.1,53.8,42.3,2.14,48.3,0.38,40.5,0.77,0.1,560,0.87,55.3,33.3,1806,3.6,1.36,1.57
Splyce Vipers,S9,ES,35,54.30%,1.2,1788,48,10:06:00,14,11.7,6.3,5.9,40,31.4,1.86,45.1,0.51,51.4,0.63,-0.4,-505,0.77,55.9,31.9,1889,3.1,1.21,1.26
