Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Evil Geniuses Prodigies,S11,NA,11,36.40%,0.61,1671,-175,08:25:00,10.4,17,4.6,7,45.5,36.4,1.64,33.8,0.73,36.4,0.73,-0.4,-1358,0.64,50,32,1696,2.9,1.18,1.27
Excel Esports,S11,EUW,36,38.90%,0.8,1699,-113,09:14:00,10.7,13.3,5.1,7.1,41.7,36.1,1.72,35.8,1,51.4,0.5,-0.3,-771,0.58,40,31.6,1737,3.2,1.23,1.28
FC Nantes,S11,FR,22,54.50%,1.17,1816,69,07:29:00,16.1,13.7,6.3,5.6,72.7,59.1,2.14,46.9,1.45,72.7,0.59,0,-69,0.68,51.6,31.4,2013,3.1,1.21,1.24
FC Schalke 04,S11,EUW,48,37.50%,0.82,1736,-95,08:33:00,11.3,13.7,5.7,7,47.9,41.7,1.77,37,0.98,49,0.65,-0.3,-652,0.6,38.3,32.7,1750,3.4,1.36,1.39
FC Schalke 04 Evolution,S11,DE,75,45.30%,0.97,1807,12,07:15:00,15.5,16,6.4,5.7,45.3,64,2.27,50.3,1.19,59.3,1.07,0.5,564,0.71,49.5,31.6,2019,3.2,1.29,1.33
Flamengo Academy,S11,BR,53,73.60%,1.46,1857,189,08:00:00,16.5,11.3,7.9,4.1,45.3,75.5,2.91,63.1,1.04,52.8,1.09,0.4,1020,0.85,70.1,32.5,1999,3.4,1.54,1.44
Flamengo eSports,S11,BR,44,61.40%,1.15,1806,80,08:08:00,15.4,13.4,7.1,5.1,50,47.7,2.23,50.6,1.02,51.1,0.66,0.1,220,0.68,58.8,31.8,2067,3.6,1.61,1.52
FlyQuest,S11,NA,51,31.40%,0.74,1682,-183,08:23:00,10.9,14.7,4.1,7.8,41.2,31.4,1.86,38.1,0.67,35.3,0.82,-0.6,-1402,0.41,28.6,32,1750,3.2,1.29,1.38
FlyQuest Academy,S11,NA,67,61.20%,1.23,1841,89,06:25:00,15.9,12.9,6.9,4.8,47.8,56.7,2.13,55.6,1,51.5,1.03,0.1,137,0.66,59,32.4,2072,3.1,1.25,1.28
Fnatic,S11,EUW,71,52.10%,1.02,1853,43,07:20:00,16.4,16.1,6.4,5.8,57.7,64.8,2.68,60.7,1.07,56.3,1.2,0.4,896,0.82,55.9,31.9,2064,3.4,1.36,1.27
Fnatic Rising,S11,EUW,90,64.40%,1.35,1865,167,06:06:00,16.3,12,7.7,4.3,44.4,65.6,2.48,59,1.43,71.7,1.18,0.7,1100,0.76,64.9,31.8,2092,3.3,1.41,1.27
For The Win Esports,S11,PT,63,57.10%,1.11,1800,77,08:09:00,15.7,14.1,6.7,5.5,46,58.7,2.35,49.8,1.14,58.7,0.84,0.2,508,0.84,61,30.4,2026,3,1.19,1.29
Fredit BRION,S11,KR,89,37.10%,0.87,1708,-110,09:03:00,9.8,11.2,4.5,6.9,48.3,29.2,2.36,49.6,0.69,34.8,1,-0.4,-928,0.54,39.4,33.7,1690,4,1.62,1.95
Funplus Phoenix,S11,CN,118,65.30%,1.16,1906,133,06:01:00,15.5,13.3,7.1,4.5,48.3,62.7,2.31,55.7,0.7,61,0.68,0.3,943,0.74,62.5,33.8,2110,3.3,1.35,1.46
FURIA Academy,S11,BR,52,63.50%,1.18,1799,101,08:13:00,14.2,12,6.7,5.5,51.9,57.7,2.23,47.5,1.12,55.8,0.67,0.3,968,0.71,55.6,32.2,1884,3.3,1.47,1.43
FURIA Esports,S11,BR,36,25.00%,0.63,1695,-187,07:46:00,11.3,17.7,4.8,7.9,30.6,47.2,1.47,33.9,1.03,51.4,0.64,-0.1,-961,0.5,31.9,31.2,1934,3.3,1.36,1.3
Furious Gaming,S11,LAT,49,57.10%,1.01,1738,5,09:50:00,13.9,13.9,6.4,5.6,53.1,49,2.59,54.9,0.92,46.9,0.92,0,-503,0.67,50.3,31.5,1872,3.7,1.47,1.57
G2 Arctic,S11,ES,58,60.30%,1.06,1819,102,08:50:00,14.5,13.6,7.4,5,43.1,74.1,2.26,52.1,1.4,69.8,0.72,0.6,994,0.95,63.7,32.1,2017,3.5,1.54,1.44
G2 Esports,S11,EUW,58,58.60%,1.11,1831,56,08:48:00,15.2,13.7,6.8,5.4,37.9,41.4,2.72,59.4,0.74,42.2,0.9,-0.1,-87,0.72,54.9,33.6,2018,3.8,1.37,1.53
Gaia Esports,S11,IT,20,45.00%,0.89,1780,-21,07:14:00,16.3,18.4,6.1,5.5,50,60,2.1,45.8,0.9,50,0.95,0.4,277,0.7,47.5,29.7,1990,2.8,1.22,1.29
Galakticos,S11,TR,44,45.50%,0.89,1766,-19,07:43:00,13.9,15.6,5.5,6.2,47.7,40.9,2.23,48.4,0.93,48.8,0.74,-0.1,-288,0.59,39.6,31.5,1819,3,1.43,1.35
Galatasaray Esports,S11,TR,60,68.30%,1.35,1834,158,09:11:00,16.2,11.9,7.4,4.3,53.3,56.7,2.33,49.4,1.07,54.2,0.85,0.2,784,0.98,67.1,32.3,1972,3.2,1.28,1.45
Galaxy Racer EU,S11,EUW,16,50.00%,1.04,1807,16,03:56:00,15.8,15.3,5.8,5.9,50,75,2.19,54,0.81,50,0.94,0,461,0.5,46.2,30.8,2131,2.9,1.24,1.2
GAM Esports,S11,VN,78,76.90%,1.52,1964,263,04:39:00,18.6,12.2,7.4,3.7,60.3,71.8,2.44,63.5,1.12,56.4,0.99,0.8,2296,0.77,69.7,33.5,2228,3.7,1.34,1.5
Gambit Esports,S11,CIS,18,66.70%,1.29,1820,194,08:19:00,14,10.8,7.4,3.7,38.9,61.1,3.06,67.8,1.44,72.2,1.33,0.6,974,0.78,69.1,32.4,1868,3.2,1.19,1.36
GamerLegion,S11,DE,52,51.90%,0.99,1818,1,06:22:00,16.1,16.2,6,5.9,44.2,53.8,2.46,56.8,0.92,48.1,0.94,-0.2,-426,0.73,50.5,31.7,2174,3,1.08,1.14
Gamers Origin,S11,FR,35,40.00%,0.93,1758,-39,09:46:00,15,16,5.8,6.3,45.7,48.6,2.26,47,1.09,54.3,0.89,0.1,223,0.54,40.7,31.3,1978,3.2,1.31,1.46
Gamers Origin Academy,S11,FR,18,33.30%,0.78,1683,-150,09:48:00,12.9,16.5,4.4,7.8,22.2,38.9,2.06,41.9,0.78,38.9,0.94,-0.2,-953,0.44,26.5,30.9,2135,3.3,1.39,1.37
Gamespace Mediterranean College Esports,S11,GR,58,48.30%,0.91,1750,-51,07:13:00,14.1,15.5,5.7,6.2,37.9,41.4,2.52,52.7,1.05,53.4,1.07,-0.3,-775,0.67,47.6,30.6,1960,3.1,1.25,1.34
GameWard,S11,FR,39,46.20%,0.91,1747,-21,07:39:00,14.3,15.6,5.8,6.3,41,56.4,2.51,54.2,1.31,66.7,1.08,0.4,137,0.62,45.9,31,2028,3.2,1.41,1.28
GameWard Academy,S11,FR,18,44.40%,1.11,1729,-36,08:27:00,14.6,13.2,5.6,6.5,66.7,27.8,2.28,52.1,0.78,38.9,1.17,-0.7,-409,0.89,51,30.3,1944,2.9,1.46,1.24
Gaming Team Krava?e,S11,CZ,25,52.00%,1.03,1744,7,06:25:00,14.2,13.7,5.6,5.5,64,52,2.32,49.8,0.8,40,0.96,-0.1,139,0.64,46,30.9,1772,2.9,1.06,1.21
Gen.G Challengers,S11,KR,56,64.30%,1.24,1818,98,09:18:00,14.6,11.8,7,4.4,53.6,57.1,2.7,57.2,1.09,55.4,0.93,0.2,463,0.66,53.3,33.2,1851,3.5,1.5,1.72
Gen.G eSports,S11,KR,116,60.30%,1.2,1813,88,09:49:00,12.8,10.7,6.7,5.4,59.5,55.2,2.59,56.4,0.96,49.6,0.98,0,334,0.84,61.9,34,1791,3.9,1.61,1.93
Gentlemens Gaming,S11,PL,29,27.60%,0.71,1642,-179,09:03:00,11.5,16.3,4.2,7.9,37.9,27.6,2.1,42.8,0.55,27.6,0.9,-0.8,-1716,0.55,37,29.9,1677,2.9,1.06,1.19
GG&Esports,S11,IT,47,51.10%,0.96,1774,2,06:49:00,13.6,14.1,5.9,6,42.6,44.7,2,42.3,1.04,55.3,0.77,-0.1,121,0.57,43.6,31.8,1887,2.9,1.05,1.28
Godsent,S11,EUW,27,33.30%,0.78,1708,-156,06:51:00,12.5,16.1,4.2,7.3,37,33.3,1.96,43.7,0.81,40.7,0.78,-0.4,-786,0.7,45.4,30.9,1928,2.9,1.14,1.11
GOEXANIMO,S11,LT,25,44.00%,0.86,1794,-67,06:49:00,15.8,18.3,5.8,6.3,40,52,2.64,57.7,0.56,34,1.12,-0.1,-614,0.44,39.6,30.2,2292,2.4,0.82,1.06
Golden Guardians,S11,NA,54,27.80%,0.64,1688,-167,09:27:00,10.3,15.9,4.5,7.6,33.3,42.6,2.37,46.5,0.94,49.1,0.72,-0.3,-393,0.48,29.2,32.3,1842,3.2,1.3,1.54
Golden Guardians Academy,S11,NA,78,47.40%,0.94,1751,-53,07:45:00,13.8,14.7,5.6,6.4,55.1,38.5,2.4,51.7,0.9,45.5,0.97,-0.2,-543,0.72,51.3,31,2011,3.5,1.45,1.35
Goskilla,S11,LT,38,71.10%,1.42,1911,200,05:45:00,21.2,14.9,7.3,4.3,57.9,60.5,2.58,64.7,0.82,44.7,1.24,0.5,1917,0.76,63.7,31.3,2386,2.8,0.98,1.24
Granit Gaming,S11,EUW,29,41.40%,0.78,1690,-156,09:16:00,13.1,16.6,4.9,7.8,37.9,44.8,2.38,47.6,0.72,36.2,1.07,-0.3,-1168,0.48,29,30.3,1931,3,1.02,1.31
Gravitas,S11,OCE,35,28.60%,0.66,1656,-214,09:03:00,13.3,20.2,4.3,7.7,34.3,28.6,1.91,37.7,0.86,42.9,0.91,-0.5,-1576,0.74,36,29.4,1864,2.6,0.99,1.07
GTZ Bulls,S11,PT,33,45.50%,1.11,1772,7,08:12:00,17.1,15.3,6.1,5.9,54.5,45.5,2.27,47.6,1,51.6,0.85,-0.4,-409,0.73,56.3,29.7,2073,2.7,1.07,1.12
Hanwha Life eSports,S11,KR,134,51.50%,1.07,1794,30,08:54:00,13.1,12.2,5.9,5.8,46.3,50.7,2.31,51.2,0.95,48.9,0.83,0,171,0.64,50,33.8,1991,3.6,1.53,1.84
Hive Athens EC,S11,GR,14,28.60%,0.71,1625,-256,06:22:00,12.4,17.4,2.7,8.2,50,28.6,2,43.4,0.93,46.4,1,-0.8,-720,0.29,25,28.6,1902,2.7,0.99,0.92
HLE Challengers,S11,KR,50,52.00%,0.97,1779,15,08:22:00,12.3,12.7,5.5,5.7,44,54,2.42,50.8,0.52,27,0.98,-0.1,14,0.68,47.1,33.9,1812,3.1,1.18,1.53
HMG,S11,CN,4,0.00%,0.31,1585,-606,02:02:00,9.3,29.8,1,9.8,50,25,0.75,15,0.5,25,0.25,-1.5,-4631,0,0,28.4,2069,2.1,0.51,1.11
Hong Kong Attitude,S11,PCS,52,36.50%,0.78,1709,-135,05:34:00,12.4,15.9,4.4,6.7,46.2,28.8,1.6,39.5,1.06,52.9,0.58,-0.5,-537,0.48,37.3,30.8,1917,3.4,1.44,1.33
Illuminar Gaming,S11,PL,85,57.60%,1.03,1745,16,09:48:00,12.9,12.4,6.1,5.8,44.7,49.4,2.31,46.3,0.88,45.3,0.84,-0.1,-225,0.71,54.1,32,1863,3.2,1.28,1.32
Immortals,S11,NA,58,43.10%,0.97,1739,-69,08:13:00,11.8,12.2,5,6.8,41.4,27.6,1.9,40.8,0.84,42.2,0.69,-0.4,-689,0.6,45.5,32.6,1776,3.6,1.31,1.42
Immortals Academy,S11,NA,76,48.70%,1.03,1769,-5,08:31:00,14.7,14.3,6,6.2,44.7,46.1,2.09,45.2,0.96,51.3,0.78,0.1,92,0.64,45.9,31.6,2010,3.3,1.26,1.37
Impunity,S11,PCS,41,26.80%,0.68,1675,-241,04:51:00,12.1,17.8,3.3,7.6,39,34.1,1.88,44.5,0.66,32.9,0.98,-0.8,-2216,0.51,40.3,30.3,1900,2.8,1.03,1.23
Inaequalis,S11,CZ,28,17.90%,0.68,1591,-254,07:55:00,10.9,16.1,2.9,8.1,57.1,17.9,1.68,34.4,0.71,37.5,0.96,-0.6,-1614,0.32,22,29.1,1695,2.7,1.08,1.09
Infinity eSports,S11,LAT,60,60.00%,1.34,1791,89,09:03:00,14.1,10.5,6.7,5,48.3,51.7,2.27,48.9,1.02,50.8,0.65,0,103,0.92,60.2,32.7,1912,3.6,1.38,1.56
Inside Games,S11,CZ,47,57.40%,1.33,1826,93,07:12:00,18.6,13.9,6.4,5.4,53.2,46.8,2.47,50.5,1.06,54.3,0.87,-0.1,516,0.68,55.4,31.1,2098,3.1,1.27,1.13
Inside Games Academy,S11,CZ,17,17.60%,0.58,1592,-327,06:49:00,10.6,18.1,2.9,8.6,52.9,29.4,1.76,35.8,0.53,31.3,0.88,-0.6,-1753,0.35,22.5,28.9,1631,3.1,1.17,1.04
INTZ Academy,S11,BR,36,19.40%,0.59,1626,-227,08:28:00,9.7,16.5,4.1,8.3,36.1,30.6,1.69,34.7,0.89,44.4,0.53,-0.4,-990,0.39,25,30.8,1686,3.6,1.63,1.37
INTZ e-Sports,S11,BR,36,30.60%,0.8,1716,-97,08:29:00,12.1,15.1,5.3,7.8,61.1,38.9,2.03,44.1,0.86,43.1,0.89,-0.5,-500,0.36,26.5,31.6,1796,3.6,1.54,1.5
Invictus Gaming,S11,CN,82,48.80%,0.99,1808,22,05:33:00,13.7,13.8,5.8,5.5,46.3,53.7,2.26,56.1,0.48,43.3,1.02,0,665,0.7,56.8,32.5,2068,3.2,1.4,1.53
Ion Squad,S11,BE,28,39.30%,0.91,1715,-63,09:01:00,14.5,15.9,5.4,6.3,53.6,46.4,2.61,51.5,0.93,48.2,1.07,0.2,-473,0.71,41.4,30.2,1919,2.7,0.98,1.19
Iron Wolves,S11,LT,40,47.50%,1.06,1806,27,07:38:00,16.1,15.2,6.1,6.6,50,35,2.15,46.5,0.95,50,0.85,-0.2,320,0.73,46.9,31.5,1957,2.8,1.06,1.18
Istanbul Wildcats,S11,TR,53,56.60%,1.16,1808,91,08:22:00,15.4,13.3,7,5.2,47.2,60.4,2.53,55.6,1.25,62.3,0.96,0.4,744,0.77,57.5,31.4,1867,2.7,1.08,1.35
Isurus,S11,LAT,36,41.70%,0.86,1695,-72,09:47:00,12.3,14.3,4.9,6.7,50,47.2,2.11,46.9,0.94,47.2,0.69,0,23,0.58,36.2,31.1,1795,3.4,1.38,1.41
IZI Dream,S11,FR,46,32.60%,0.73,1688,-162,08:03:00,11.5,15.9,4.2,7.7,41.3,34.8,2.2,43.9,0.65,32.6,1.07,-0.6,-1400,0.67,46.5,31.3,1815,3.2,1.24,1.25
J Team,S11,PCS,62,51.60%,1.17,1834,119,07:15:00,14.5,12.4,6.5,5,46.8,67.7,2.29,55.9,1.15,57.3,0.87,0.7,1142,0.6,48.2,32.9,2042,3.2,1.24,1.55
JD Gaming,S11,CN,83,56.60%,1.03,1837,37,07:16:00,14.6,14.2,5.9,5.5,51.8,41,2.35,51.7,0.54,52.3,0.78,-0.1,718,0.63,48.1,33.7,2078,3.4,1.19,1.61
K1CK,S11,PL,70,54.30%,1.06,1780,52,08:53:00,14,13.2,6.7,5.2,58.6,62.9,2.59,53.5,1.29,67.9,1.03,0.4,614,0.74,56.6,31.4,2048,3.5,1.26,1.35
KaBuM! Academy,S11,BR,36,38.90%,0.97,1726,-37,08:57:00,13.2,13.6,5.5,6.9,52.8,33.3,2.28,47.7,0.97,48.6,1,-0.2,46,0.5,38.6,31.5,1878,3.4,1.58,1.42
KaBuM! e-Sports,S11,BR,40,42.50%,0.87,1725,-71,08:23:00,13,14.9,5.4,7,37.5,45,2.35,48.9,0.88,43.8,0.9,0,-309,0.65,45.4,31.4,1917,3.4,1.48,1.54
Kaos Latin Gamers,S11,LAT,28,17.90%,0.56,1650,-252,10:01:00,11.1,19.9,3.9,8.8,32.1,21.4,2.25,45.5,0.64,32.1,1.14,-0.5,-1492,0.46,29.2,30.8,2001,3.4,1.41,1.36
Karma Clan Esports,S11,PT,53,34.00%,0.69,1692,-147,08:25:00,13.5,19.6,4.9,7.2,35.8,39.6,1.89,37.5,0.92,50,0.77,-0.4,-1187,0.51,34.7,29.8,1917,3,1.05,1.27
Karmine Corp,S11,FR,88,72.70%,1.45,1887,207,07:03:00,17.8,12.2,7.4,4.3,58,64.8,2.59,60.5,1.1,57.4,1.05,0.4,1230,0.89,71.6,32.1,2212,3.1,1.19,1.47
Komil & Friends,S11,PL,29,24.10%,0.63,1604,-266,07:30:00,10.5,16.6,3.7,7.6,34.5,27.6,2.03,41.2,0.66,32.8,0.86,-0.7,-2866,0.59,39.7,28.9,1600,3,1.13,1.1
KOVA Esports,S11,EUW,28,25.00%,0.71,1647,-244,08:14:00,12.9,18,3.1,8.6,46.4,17.9,1.79,34.7,0.57,28.6,0.68,-0.9,-1808,0.43,24.7,30.4,1889,3.2,1.31,1.27
KRC Genk Esports,S11,BE,29,44.80%,0.88,1706,-97,07:21:00,14.3,16.3,4.6,6.6,41.4,48.3,2.31,50.7,0.86,43.1,0.93,-0.3,-1122,0.48,39.7,29.6,1857,2.7,1.16,1.15
KT Challengers,S11,KR,48,47.90%,1.09,1745,-13,10:26:00,13.3,12.2,6,6.1,62.5,60.4,2.65,55.8,0.96,50,0.92,0.2,14,0.79,51.4,32.1,1786,3.6,1.73,1.76
KT Rolster,S11,KR,98,43.90%,0.95,1758,-55,09:19:00,11.7,12.3,5.1,6.3,49,38.8,1.94,41,0.87,44.4,0.68,-0.4,-343,0.63,42,34,1799,3.8,1.56,1.75
KV Mechelen Esports,S11,BE,45,73.30%,1.32,1835,136,07:51:00,17.7,13.4,7.1,4.5,60,55.6,2.98,62.5,1.2,64.4,1.2,0.2,774,0.67,57.5,30.9,2048,2.9,1.07,1.26
LDLC OL,S11,FR,40,40.00%,0.85,1749,-63,09:48:00,13.1,15.3,5.7,6.8,45,47.5,2.15,42.4,0.53,27.5,0.78,-0.3,-258,0.65,37.1,32.4,2082,3.2,1.1,1.3
Legacy Esports,S11,OCE,35,31.40%,0.75,1697,-179,07:08:00,13.9,18.5,4.6,7.2,57.1,42.9,2.03,44.2,0.8,40,0.8,-0.2,-1079,0.51,34.3,29.8,1962,3,1.08,1.2
Legend Esport Gaming,S11,CN,4,0.00%,0.32,1571,-404,08:29:00,7.5,23.5,2,9.3,-,50,1.25,22.9,0.5,25,0.75,-0.3,-2170,0,0,31,1835,3,1.22,1.2
LGD Gaming,S11,CN,77,36.40%,0.8,1729,-132,07:02:00,12,14.9,4.7,6.8,36.4,33.8,1.92,41.5,0.39,39.7,0.73,-0.4,-1997,0.47,38,32.2,1871,3.1,1.23,1.56
Liiv SANDBOX,S11,KR,101,44.60%,0.85,1764,-51,09:06:00,11.2,13.2,5.7,6.3,42.6,55.4,2.29,50.4,1.1,58.4,0.82,0,-88,0.58,43,33.7,1793,3.7,1.59,1.86
Liyab Esports,S11,PCS,40,17.50%,0.61,1627,-306,05:01:00,10.6,17.5,2.8,8.3,45,30,1.55,35.2,0.78,40,0.68,-1.3,-2642,0.28,24.5,30.1,1686,2.9,1.22,1.2
LNG Esports,S11,CN,124,53.20%,1.13,1795,29,07:42:00,13.1,11.6,5.8,5.7,50,46,2.05,48.1,0.31,40.6,0.68,0,-29,0.57,47.6,33.3,1871,3.4,1.19,1.5
LOUD,S11,BR,44,52.30%,1.04,1778,1,08:57:00,14.6,14,6.7,6,54.5,59.1,2.09,44.4,0.82,42,0.84,-0.1,-443,0.75,52,31.7,1927,3.5,1.44,1.42
LOUD Academy,S11,BR,44,56.80%,1.07,1778,53,09:58:00,14.7,13.7,6.5,5.8,56.8,54.5,2.75,57.1,1.11,55.7,1.18,0.2,272,0.89,57.5,31.4,2039,3.4,1.41,1.3
LowLandLions,S11,NL,20,40.00%,0.83,1712,-65,07:40:00,11.9,14.3,5.3,6.6,40,50,2,43.1,1.1,57.5,1.1,0.2,-125,0.4,35.2,31.5,1844,3.3,1.21,1.21
LSB Challengers,S11,KR,46,45.70%,1,1774,3,09:31:00,12.8,12.8,5.6,6,43.5,30.4,2.24,45.9,1.33,67.4,0.78,-0.2,-51,0.72,50.8,33.5,1839,3.7,1.64,1.68
Luxury Esports,S11,VN,76,43.40%,0.84,1847,-34,05:50:00,15.6,18.6,5.4,6.4,39.5,43.4,2.04,49.4,0.68,34.9,0.91,-0.4,-763,0.64,51.2,32.9,2244,3.2,1.26,1.4
LYA,S11,CN,4,0.00%,0.42,1565,-286,10:43:00,7,16.5,2.3,8.8,75,-,0.75,14.2,0.5,25,0.75,-0.8,-2579,0.25,16.7,30.9,1295,3.4,1.14,1.29
Machi E-Sports,S11,PCS,66,68.20%,1.43,1854,183,06:39:00,15.8,11,7.4,4,59.1,59.1,2.27,54.9,1,51.5,0.88,0.5,1079,0.77,66.8,32.2,2055,3.4,1.33,1.53
Macko Esports,S11,IT,69,62.30%,1.26,1811,120,07:14:00,15.2,12.1,7,4.7,53.6,60.9,2.83,62.9,1.1,56.5,1.13,0.3,913,0.71,59.7,31.8,2024,3.2,1.3,1.3
MAD Lions,S11,EUW,92,60.90%,1.1,1851,78,09:05:00,16,14.5,7.4,5.7,55.4,52.2,2.27,51.9,1.17,60.3,0.74,0.1,111,0.97,60.2,32.6,2051,3.5,1.28,1.57
MAD Lions Madrid,S11,ES,39,51.30%,1.19,1762,22,10:28:00,13.8,11.6,6.4,6.4,53.8,48.7,2.72,52.8,1.05,53.8,1.21,0.1,326,0.72,48.7,32.2,1887,3.4,1.32,1.46
MAMMOTH,S11,OCE,34,11.80%,0.57,1617,-336,05:22:00,11.5,20,2.9,8.3,52.9,47.1,1.35,29.9,0.79,39.7,0.74,-0.8,-2286,0.26,20.4,28.5,1702,3,1.36,1.13
MCES Academy,S11,FR,18,22.20%,0.57,1659,-232,08:04:00,11.4,19.9,3.6,7.6,50,33.3,1.33,27.4,0.78,38.9,0.39,-0.6,-1731,0.78,36.1,30,1931,2.9,1.11,1.25
mCon esports Rotterdam,S11,NL,41,53.70%,1.01,1790,22,07:28:00,16.8,16.6,6.5,5.5,53.7,53.7,2.37,51.5,1.1,56.1,0.9,0,185,0.78,58.1,30.2,2138,2.8,1.1,1.23
Medieval Riga,S11,LT,20,10.00%,0.45,1609,-487,04:54:00,12.4,27.4,2.1,9.3,55,5,1,24.4,0.4,25,0.7,-1.6,-4543,0.45,29.4,26.8,1981,2.4,0.87,0.89
Method2Madness,S11,LT,37,43.20%,0.97,1813,0,06:42:00,18.1,18.6,5.9,5.6,51.4,81.1,1.97,45.9,1.38,71.6,0.95,0.6,895,0.78,54.1,30,2138,2.7,1.05,1.01
Misfits Gaming,S11,EUW,46,52.20%,0.99,1796,16,08:35:00,13.7,13.8,6,5.8,54.3,54.3,2.46,55.3,1.04,52.2,0.83,0.2,204,0.72,51.9,32.8,1974,3.2,1.26,1.42
Misfits Premier,S11,FR,83,65.10%,1.23,1844,131,07:12:00,15.9,13,7.2,4.6,71.1,71.1,2.59,61.8,1.3,65.7,1.11,0.8,1741,0.77,58.5,32,2086,3.5,1.39,1.34
Mkers,S11,IT,58,48.30%,0.96,1764,0,07:20:00,13.7,14.2,6.1,5.9,51.7,51.7,2.1,46.4,1.02,52.6,0.88,-0.1,220,0.67,50.2,31.4,1935,3,1.24,1.33
MnM Gaming,S11,EUW,11,9.10%,0.6,1630,-297,07:43:00,11.8,19.7,3.1,9.1,63.6,18.2,1.36,27.3,0.82,40.9,0.73,-0.7,-1766,0.18,6.8,29.9,1856,3.3,1.09,1.15
Mousesports,S11,DE,97,62.90%,1.18,1839,104,07:42:00,16.8,14.1,7.2,5.2,51.5,60.8,2.42,54.4,1.41,71.1,0.96,0.5,1120,0.85,63.8,31.5,2267,3.1,1.14,1.18
Movistar Riders,S11,ES,64,64.10%,1.25,1853,116,07:09:00,16.2,13,6.9,4.9,48.4,60.9,2.52,58.3,1.27,64.8,1,0.2,857,0.81,59,32.3,2008,3.3,1.37,1.27
NASR eSports Turkey,S11,TR,47,61.70%,1.11,1807,96,07:30:00,12.8,11.5,6.6,4.4,51.1,72.3,2.53,58.4,1.15,57.4,1.15,0.6,1040,0.79,56.9,32.9,1869,3.4,1.3,1.46
Netshoes Miners,S11,BR,36,30.60%,0.76,1669,-156,08:27:00,11.5,15.1,4.3,7.6,50,19.4,1.97,42.1,0.64,33.3,0.81,-0.6,-1014,0.64,40,30.6,1757,3.2,1.25,1.22
Nexus KTRL,S11,RS,28,42.90%,1.06,1707,-65,07:29:00,14,13.2,4.5,6.3,50,46.4,2.5,50.8,0.79,48.2,0.89,-0.4,-453,0.64,41.3,30.6,1867,2.7,0.89,1.06
NK Osijek Esport,S11,RS,15,6.70%,0.57,1603,-373,06:03:00,11.1,19.5,2.3,9.5,26.7,33.3,1.73,40,0.6,30,1.07,-1.4,-2777,0.33,16.7,28.6,1720,2.6,0.97,1.14
NM Academy,S11,BR,36,27.80%,0.74,1656,-150,09:35:00,11.3,15.3,4.7,8,47.2,41.7,1.64,33.3,0.72,36.1,0.47,-0.4,-856,0.53,32.9,30.4,1792,3.2,1.46,1.35
No Name Esport,S11,PL,5,20.00%,0.54,1566,-267,07:02:00,8.6,15.8,3.2,7.2,20,-,1.6,35,0.8,40,0.6,-1.2,-3318,0.2,25,28.9,1565,2.8,0.96,1
No Org,S11,NA,17,76.50%,1.31,1888,239,05:11:00,14.9,11.4,7.5,2.8,64.7,82.4,2.06,52.5,1.24,70.6,0.82,0.6,1522,1.06,79.4,33.4,2076,3.1,1.28,1.47
Nongshim RedForce,S11,KR,117,49.60%,0.94,1758,-24,09:24:00,12.2,12.9,5.8,5.9,39.3,42.7,2.34,49.2,0.99,50,0.85,-0.1,-638,0.68,48.8,32.9,1926,3.7,1.32,1.82
Nordavind,S11,EUW,42,52.40%,0.96,1777,37,07:12:00,12.9,13.3,6.5,5.3,57.1,47.6,2.4,53.3,0.83,41.7,1.1,0,-11,0.76,60.4,32.3,1878,2.9,0.98,1.4
NS Challengers,S11,KR,47,51.10%,0.85,1772,-17,08:32:00,12.3,14.5,5.6,5.8,48.9,59.6,2.36,53,1.04,52.1,1.02,0,18,0.85,60.1,33.1,1860,3.5,1.46,1.66
OFFSET Esports,S11,PT,43,53.50%,0.97,1770,4,09:17:00,15.4,15.7,5.7,6.3,41.9,37.2,2.58,51.8,0.7,36,1,-0.3,-344,0.65,47.2,31.2,2045,3,1.09,1.21
Olympiacos Alimou,S11,GR,19,52.60%,1.05,1717,-32,09:00:00,15.3,14.5,6.3,6.2,52.6,42.1,2.84,58.7,1.26,63.2,1.42,0.3,-217,0.68,55.3,28.5,2063,3,1.2,1.3
OMG,S11,CN,83,39.80%,0.83,1726,-134,05:59:00,11.8,14.3,4.5,6.7,50.6,34.9,2.06,47.9,0.48,46.5,1,-0.2,-1463,0.58,45,32,1837,3.1,1.19,1.42
One Breath Gaming,S11,CIS,43,65.10%,1.33,1780,130,10:01:00,14.1,10.6,7.3,4.8,72.1,55.8,2.28,44.8,1.19,59.3,0.86,0.5,1269,1,67.7,31.3,2053,3.1,1.31,1.34
ORDER,S11,OCE,46,52.20%,0.98,1771,-4,07:56:00,14.4,14.6,6,6,54.3,47.8,2.35,49.3,0.89,46.7,0.98,-0.2,-293,0.72,53.8,31.6,1903,3,1.25,1.23
Outplayed,S11,IT,52,55.80%,1.16,1799,70,06:03:00,15.5,13.3,6.2,5.1,59.6,51.9,2.38,55.6,1.06,54.8,1.08,0.2,290,0.71,61,31,2086,3.1,1.17,1.27
