"Name","Season","Region","Games","Win.rate","K.D","GPM","GDM","Game.duration","Kills...game","Deaths...game","Towers.killed","Towers.lost","FB.","FT.","DRAPG","DRA.","HERPG","HER.","DRA.15","TD.15","GD.15","NASHPG","NASH.","CSM","DPM","WPM","VWPM","WCPM","Region_ID"
"PCS Taran",12,"FR",25,56,1.11,1815,56,513,16.6,14.9,6.5,5.6,60,84,2.8,59.1,1.24,64,1.12,0.4,799,0.96,66,30.8,2014,3,1.2,1.14,12
"PEACE",12,"OCE",27,55.6,1.15,1811,51,401,14.6,12.7,6.3,5.5,55.6,66.7,2.41,52.2,1,50,0.74,0.4,1174,0.56,38.5,31.3,1949,3,1.22,1.33,24
"PENTA 1860",12,"DE",18,38.9,0.86,1827,-30,530,14.8,17.1,5.7,7,44.4,66.7,1.94,40.2,0.83,41.7,0.78,0,384,0.44,37.3,33.2,2118,3.3,1.33,1.6,8
"Pentanet.GG",12,"OCE",32,62.5,1.2,1907,164,380,17.3,14.3,7.3,4.8,62.5,78.1,2.69,61.3,1.41,70.3,1.31,0.8,1452,0.75,64.9,31.9,2274,3.2,1.23,1.35,24
"PSG Talon",12,"PCS",35,74.3,1.75,1877,229,456,14.3,8.1,7.6,3.8,51.4,71.4,2.74,61.7,1.2,60,0.94,0.6,1493,0.89,71.1,33.8,1870,3.6,1.51,1.7,25
"Rainbow7",12,"LAT",27,66.7,1.39,1811,120,536,15.5,11.1,7.3,4.6,59.3,44.4,2.07,46.5,1.3,64.8,0.85,0,1176,0.85,67.3,31.5,1889,3.2,1.28,1.5,20
"Rare Atom",12,"CN",42,50,0.85,1814,-6,468,11.5,13.5,6.3,6.4,50,33.3,2.48,52.6,0,0,0,0,0,0.62,42.7,34.5,1893,0,0,0,5
"Rascal Jester",12,"JP",33,72.7,1.51,1835,164,527,14.6,9.7,8.1,4.1,63.6,69.7,2.79,57.5,1.21,60.6,1,0.2,796,0.94,72,31.6,1857,3.2,1.28,1.73,15
"RED Academy",12,"BR",18,33.3,0.74,1744,-128,581,14.2,19.1,5.7,7.3,50,50,1.94,42.4,1,50,0.39,-0.3,-561,0.67,38.9,30.7,2057,3.2,1.37,1.36,2
"RED Canids",12,"BR",39,59,1.16,1821,50,526,16.2,14,7,6.3,53.8,43.6,2.51,54.9,1.13,57.7,0.69,0,-131,0.67,56.9,31.5,1919,3.4,1.51,1.34,2
"Rensga Academy",12,"BR",18,5.6,0.46,1613,-357,311,8.1,17.4,2.8,9,33.3,22.2,1.17,34.4,0.67,33.3,0.39,-0.9,-1941,0.11,9.4,31,1454,3.4,1.45,1.24,2
"Rensga eSports",12,"BR",18,33.3,0.81,1748,-107,515,14,17.3,4.9,7.6,44.4,55.6,1.89,39.7,1.17,58.3,0.61,-0.2,-684,0.44,33.3,31.3,1978,3.4,1.53,1.43,2
"Riddle Esports",12,"EUW",25,48,0.9,1731,-80,625,14.1,15.6,5.4,6.8,48,28,2.4,46.7,0.92,46,0.84,-0.4,-726,0.68,36.8,31.6,2096,3.2,1.14,1.29,11
"Rogue",12,"EUW",30,66.7,1.44,1902,174,414,15.6,10.8,7.4,4.8,63.3,66.7,1.97,53.3,1.07,53.3,0.67,0.3,1542,0.97,70.2,32.5,2126,3.2,1.15,1.41,11
"Royal Never Give Up",12,"CN",53,64.2,1.24,1866,113,505,15.4,12.4,7.2,5.2,54.7,56.6,2.47,55.3,0,0,0,0,0,0.87,63.1,32.7,1910,0,0,0,5
"Saigon Buffalo",12,"VN",45,55.6,1.19,1934,84,302,18.7,15.7,6.8,5.4,64.4,60,2.36,59.6,1.22,61.1,0.87,0.1,464,0.73,61.4,32.6,2231,3.3,1.35,1.56,35
"Samsung Morning Stars",12,"IT",14,0,0.46,1644,-345,561,10.4,22.6,2.9,9.9,42.9,28.6,1.14,22.9,0.79,39.3,0.57,-0.4,-1941,0.29,14.3,30.1,1935,3.2,1.25,1.06,14
"SBTC Esports",12,"VN",34,41.2,0.95,1831,-59,323,16.1,16.9,5.6,6.4,58.8,52.9,1.74,43.8,0.94,47.1,0.79,-0.1,134,0.53,40,32.2,2030,3.2,1.44,1.35,35
"Sector One",12,"BE",14,35.7,0.8,1708,-101,690,13.7,17.1,5.5,6.9,57.1,50,2,38.8,1.14,60.7,0.5,0.2,957,0.64,33.3,29.9,1970,3.2,1.16,1.43,1
"SEM9",12,"PCS",18,0,0.34,1553,-561,171,7.7,22.4,1.4,9.8,33.3,22.2,0.72,18.3,0.33,16.7,0.44,-1,-4233,0.11,9.4,29,1461,2.8,1.24,1.09,25
"Sengoku Gaming",12,"JP",34,61.8,1.21,1810,97,548,13.4,11,6.6,5.3,47.1,35.3,2.74,59.8,0.94,48.5,1.18,0,202,0.76,65.6,33,1892,3.4,1.3,1.67,15
"SINNERS Esports",12,"CZ",18,38.9,0.88,1726,-43,581,14.9,16.8,5.7,6.8,50,38.9,2.44,49.2,1.11,58.3,0.83,-0.1,-636,0.5,41.1,30.2,2268,2.7,1.09,1.33,6
"SK Gaming",12,"EUW",18,38.9,0.89,1718,-154,576,11.7,13.1,4.5,7.9,44.4,27.8,2.28,46.5,1,50,0.83,-0.4,-1615,0.5,33.3,32.5,1756,3.4,1.33,1.35,11
"SK Gaming Prime",12,"DE",18,44.4,0.98,1803,-14,602,16.1,16.3,6.1,6.6,61.1,50,2.39,46.3,1.28,63.9,0.67,-0.1,862,0.72,39.8,31.9,2152,3.1,1.19,1.21,8
"SoftBank Hawks Gaming",12,"JP",25,32,0.88,1722,-70,573,10.2,11.6,5.5,7.3,56,52,2.16,44.2,1,52,0.6,0,380,0.52,36,32.7,1595,3.4,1.52,1.6,15
"Solary",12,"FR",18,44.4,1.17,1765,-50,567,13.7,11.7,5.3,6.9,50,50,2.06,41.1,1.39,69.4,1,-0.2,-307,0.83,56.5,31.9,1803,3.4,1.22,1.42,12
"SOVEJA",12,"RS",14,14.3,0.59,1675,-259,323,11.9,20.1,3.1,8.7,42.9,21.4,1.5,38.5,0.36,17.9,0.71,-0.6,-1800,0.14,18.2,30.1,1851,2.4,0.8,1.01,29
"Split Raiders",12,"RS",18,44.4,0.91,1781,-52,385,14.6,16.1,5.2,6.5,55.6,44.4,2.39,53.4,0.78,41.7,1,-0.1,-101,0.56,47.1,31.4,1940,2.6,0.98,1.13,29
"SuperMassive Blaze",12,"TR",18,44.4,0.92,1781,-53,455,13.3,14.4,6.4,6.5,55.6,72.2,2,44.4,1.28,63.9,0.72,0.1,-268,0.56,44.1,31.2,1783,3.1,1.32,1.33,32
"SuperMassive Blaze Academy",12,"TR",28,57.1,1.38,1841,144,582,16.9,12.3,7.4,5.4,53.6,60.7,2.71,55,1.14,58.9,0.93,0.1,1182,0.93,55.4,31.5,1964,2.9,1.25,1.39,32
"T1",12,"KR",50,84,1.57,1939,273,543,16.1,10.3,8.7,3.7,62,84,2.5,57.5,1.46,74,0.66,0.7,2140,1,75.4,33.5,2134,3.7,1.41,1.62,17
"T1 Challengers",12,"KR",36,58.3,1.03,1865,91,448,14,13.6,6.6,5,47.2,55.6,2.25,51.8,1.28,63.9,0.92,0.1,1048,0.69,56.9,33.6,2136,3.4,1.46,1.68,17
"Taco Gaming",12,"N/A",7,28.6,0.8,1739,-146,449,15.9,19.9,4.9,7,42.9,42.9,2.71,60.7,1,50,1.57,-0.1,-1529,0.71,47.2,28.3,2091,2.5,0.89,0.93,22
"Team 7AM",12,"BE",14,28.6,0.83,1739,-127,484,14.9,17.9,4.4,7.6,35.7,42.9,2.43,51.3,0.64,32.1,1.21,-0.3,-361,0.43,37.2,30.5,2035,3,1.12,1.02,1
"Team Aurora",12,"TR",27,48.1,0.89,1782,-8,482,12.5,14,6.3,5.9,44.4,48.1,2.52,52.3,0.74,37,0.89,0,-528,0.89,56.2,32,1760,3.4,1.38,1.52,32
"Team AURORA Academy",12,"TR",18,16.7,0.56,1647,-261,419,8.6,15.2,3.6,8.8,22.2,27.8,1.61,35.9,0.78,38.9,0.94,-0.3,-1863,0.5,25,31.5,1541,2.7,1.08,1.16,32
"Team Aze",12,"LAT",26,73.1,1.23,1822,114,608,14.2,11.6,7.1,4.7,50,61.5,3.04,61.1,0.92,48,1.15,0,425,0.77,65.6,33.6,1937,3.3,1.4,1.62,20
"Team BDS",12,"EUW",18,22.2,0.72,1713,-180,597,11.7,16.1,4.2,8.4,61.1,44.4,2.17,45.4,0.83,41.7,0.83,-0.2,-485,0.44,29.6,32.1,1775,3.4,1.44,1.35,11
"Team BDS Academy",12,"FR",42,59.5,1.03,1813,55,608,14,13.7,7.1,6,47.6,66.7,3.48,72.4,0.88,46.4,1.36,0.2,396,0.88,64.3,32.7,2014,3.7,1.5,1.74,12
"Team Echo Zulu",12,"BE",22,59.1,1.17,1781,41,609,15.4,13.1,7.2,6,45.5,36.4,2.36,45.5,0.68,34.1,0.86,-0.3,-473,0.77,55.3,31.2,2045,2.8,1.01,1.05,1
"Team ESCA Gaming",12,"PL",39,56.4,1.05,1827,36,408,15.4,14.8,6.3,5.9,46.2,51.3,2.31,51.2,0.92,46.2,1.03,0.1,9,0.69,51.8,31.5,2016,2.8,0.9,1.18,26
"Team Flash",12,"VN",35,28.6,0.74,1740,-229,252,13.3,17.9,3.8,7.7,31.4,22.9,1.43,34.5,0.69,34.3,0.54,-0.9,-2462,0.34,27.9,31.3,1986,3,1.22,1.32,35
"Team Heretics",12,"ES",18,44.4,0.97,1732,-38,542,13.3,13.6,5.6,6.3,50,50,2.44,52.3,1.28,63.9,0.56,-0.1,610,0.61,38.9,30.6,1860,3.2,1.26,1.35,9
"Team Liquid",12,"N/A",44,68.2,1.34,1876,156,512,13.9,10.3,7.5,4.7,72.7,68.2,2.82,63.6,0.89,44.3,0.91,0.3,1001,0.77,62.8,34.1,1986,3.1,1.27,1.6,22
"Team Liquid Academy",12,"N/A",52,63.5,1.12,1857,106,493,15.2,13.4,7.3,5.2,46.2,61.5,2.65,58.4,1.19,62.5,0.98,0.2,732,0.98,63.4,32.9,2129,3,1.16,1.28,22
"Team MCES",12,"FR",35,62.9,1.03,1788,12,591,16.3,15.9,6.5,5.5,51.4,45.7,2.4,46.9,0.91,47.1,0.6,-0.3,-513,0.86,51,30.8,2175,3.1,1.13,1.26,12
"Team Oplon",12,"FR",18,11.1,0.6,1631,-298,505,10.2,17,2.6,9.3,55.6,16.7,1.5,33.8,0.72,36.1,0.83,-0.6,-1864,0.22,14.6,31.1,1651,3.2,1.48,1.31,12
"Team Phantasma",12,"GR",31,54.8,1.14,1815,28,388,17.4,15.2,6.4,5.5,67.7,77.4,2.19,49.5,1.58,79,0.9,1,1477,0.77,57.1,29.9,2110,2.7,1.1,1.17,13
"Team Refuse",12,"GR",14,21.4,0.71,1678,-190,424,12.1,17.2,3.4,8,42.9,42.9,2.14,46.5,0.71,35.7,1.14,-0.5,-1976,0.14,16.7,30.2,1978,2.8,0.88,1.12,13
"Team Secret",12,"VN",38,60.5,1.12,1911,77,333,17.2,15.3,6.6,4.9,50,50,2.29,54.5,0.82,40.8,1,-0.1,313,0.63,50.5,33.3,2271,3.2,1.37,1.5,35
"Team Singularity",12,"EUW",18,11.1,0.48,1616,-398,351,9.8,20.3,2.8,9,38.9,16.7,1.56,34.3,0.61,30.6,0.78,-0.8,-2812,0.33,16.7,29.4,1895,2.8,0.97,1.06,11
"Team Spirit",12,"CIS",4,100,2.36,1998,452,99,13,5.5,9.5,1.5,75,100,2.75,86.7,1.75,87.5,1.5,1.8,4081,0.5,100,35.9,1563,3.2,1.38,1.17,4
"Team Vitality",12,"EUW",26,46.2,0.95,1825,26,563,13.3,13.9,6.6,6.6,38.5,42.3,2,44.9,0.92,46.2,0.92,-0.1,265,0.54,47.1,33.8,1984,3.2,1.18,1.48,11
"Team WE",12,"CN",40,35,0.83,1719,-131,392,11.3,13.6,4.8,7.3,45,27.5,1.85,42.6,0,0,0,0,0,0.55,39,31.2,1738,0,0,0,5
"Tony Parker Adequat Academy",12,"FR",22,45.5,0.97,1781,-25,712,16.5,17,6.3,7.1,36.4,54.5,2.32,41.7,1.09,56.8,0.77,0,-4,0.73,43.7,30,2205,3.5,1.49,1.55,12
"Top Esports",12,"CN",66,59.1,1.26,1849,95,460,14.7,11.6,7,5.3,48.5,50,2.64,60.3,0,0,0,0,0,0.74,57.7,33.1,1919,0,0,0,5
"TSM",12,"N/A",22,27.3,0.68,1755,-158,537,11,16,5.7,8.2,45.5,45.5,1.68,36.4,1.09,56.8,0.82,0,-982,0.64,30.3,32.6,1797,3.5,1.39,1.36,22
"TSM Academy",12,"N/A",44,36.4,0.85,1765,-109,493,13.2,15.4,5.3,7.3,45.5,38.6,1.77,38.4,1.05,56.8,0.52,-0.3,-630,0.61,41.5,32.5,1881,3.5,1.48,1.27,22
"TT",12,"CN",40,27.5,0.75,1698,-158,399,10,13.4,4,7.5,47.5,25,1.75,37.9,0,0,0,0,0,0.4,36.3,31.9,1754,0,0,0,5
"UCAM Tokiers",12,"ES",18,16.7,0.73,1633,-217,626,9,12.3,3.3,9,38.9,44.4,1.94,36.6,0.78,38.9,0.83,-0.3,-897,0.33,21.3,32.2,1549,3.4,1.49,1.52,9
"Ultra Prime",12,"CN",41,36.6,0.83,1756,-111,466,13.1,15.7,4.9,7,58.5,29.3,1.83,41,0,0,0,0,0,0.51,41.5,31.7,2014,0,0,0,5
"Unicorns Of Love",12,"CIS",4,75,2.88,1848,259,448,12.3,4.3,7.5,3.8,100,50,3.75,85.7,0.5,25,1.75,0.3,610,0.75,75,33.9,1806,3.5,1.17,1.39,4
"Unicorns Of Love Sexy Edition",12,"DE",47,66,1.37,1861,120,427,17.3,12.6,6.8,5.1,46.8,48.9,2.66,58.8,1.17,58.5,1.02,0,7,0.72,62.9,32.2,2159,3.2,1.36,1.39,8
"V3 Esports",12,"JP",21,0,0.36,1562,-444,376,6.6,18.4,1.6,9.6,42.9,19,1.33,28.5,0.57,28.6,0.9,-0.7,-3049,0.19,13.2,31,1445,3.2,1.5,1.41,15
"Valiance",12,"RS",30,53.3,1.01,1807,26,498,16.1,15.8,6.6,5.6,63.3,60,2.2,46.6,1.07,53.3,0.7,-0.1,-40,0.7,51.1,31.3,2026,2.9,1.15,1.32,29
"Vanir",12,"EUW",21,52.4,0.78,1760,-57,493,12.7,16.3,6,6.3,61.9,47.6,2.38,52.7,1.05,54.8,1.19,-0.3,-995,0.76,44.7,31.3,2068,3,1.25,1.27,11
"Vega Squadron",12,"CIS",4,0,0.42,1649,-361,268,7.5,17.8,3,9.3,25,25,0.5,13.3,0.75,37.5,0.5,-1.5,-3729,0.25,25,31.5,1571,2.9,0.93,1.05,4
"Victory Five",12,"CN",53,66,1.27,1878,115,467,16.2,12.7,7.5,5.2,45.3,58.5,2.45,54.3,0,0,0,0,0,0.75,57.1,32.5,2141,0,0,0,5
"Vitality.Bee",12,"FR",48,68.8,1.45,1835,130,595,16.1,11,7.7,5.2,52.1,56.3,2.27,50.6,0.83,41.7,0.67,0.1,938,0.75,52.7,32.5,2123,3.6,1.4,1.42,12
"WAVE Esports",12,"DE",18,5.6,0.51,1633,-314,380,9.6,18.6,3.5,9.4,50,27.8,1.11,24.2,1.06,52.8,0.33,-0.2,-1686,0.17,8.3,29.9,1895,2.9,1.09,1.14,8
"Weibo Gaming",12,"CN",48,58.3,1.03,1826,51,514,12.8,12.4,6.6,5.6,31.3,39.6,1.94,41.7,0,0,0,0,0,0.81,55.3,33.9,2002,0,0,0,5
