"Name","Season","Region","Games","Win.rate","K.D","GPM","GDM","Game.duration","Kills...game","Deaths...game","Towers.killed","Towers.lost","FB.","FT.","DRAPG","DRA.","HERPG","HER.","DRA.15","TD.15","GD.15","NASHPG","NASH.","CSM","DPM","WPM","VWPM","WCPM","Region_ID"
"Repre Gold",10,"CZ",23,73.9,1.07,1936,212,376,20.7,19.2,7.8,3.5,69.6,78.3,2.13,52.4,1.26,65.2,1,1,1931,0.87,61.4,31.3,2394,3.1,1.23,1.21,6
"Resurgence",10,"PCS",36,22.2,0.6,1615,-225,450,8.6,14.2,4,8.1,44.4,33.3,1.47,29.4,0.81,40.3,0.61,-1,-2034,0.47,31.8,30.5,1430,3.3,1.35,1.25,25
"Riddle Esports",10,"EUW",9,55.6,0.95,1802,35,464,13.7,14.2,6.7,5.4,44.4,44.4,2.78,59.6,0.89,44.4,1.44,0,12,0.78,59.3,32.4,1956,2.6,1.03,1.01,11
"Rogue",10,"EUW",61,52.5,1.1,1743,12,553,11.8,10.6,6.4,5.9,57.4,72.1,2.2,45.2,1.02,51.6,0.8,0.3,353,0.62,52.6,31.8,1700,3.3,1.18,1.32,11
"Rogue Warriors",10,"CN",83,38.6,0.81,1676,-136,504,12.8,15.7,4.8,7.1,22.9,16.9,2.02,39.8,0.49,60.3,0.92,-0.1,-1269,0.47,37,29.7,1763,3.1,1.15,1.56,5
"RoX",10,"CIS",35,57.1,1.03,1731,1,528,14.3,13.8,6.3,5.4,48.6,34.3,2.14,43,0.8,42.4,0.82,-0.5,-661,0.8,59.4,29.9,1926,3.2,1.27,1.27,4
"Royal Never Give Up",10,"CN",95,55.8,1.19,1776,48,535,13.8,11.6,6.3,5.3,26.3,20,2.65,54.8,0.35,45.8,1.05,-0.1,834,0.58,52.5,31.7,1769,3.6,1.34,1.65,5
"Royal Youth",10,"TR",34,17.6,0.51,1562,-337,321,8.7,17,2.6,7.6,29.4,29.4,1.24,25.5,0.71,35.3,0.56,-1.1,-2895,0.24,19,29.1,1575,2.9,1.06,1.07,32
"RunAway",10,"KR",36,44.4,0.99,1738,-12,537,10.6,10.8,5.7,6.5,41.7,50,2.14,44.7,0.89,45.8,0.69,-0.1,286,0.67,50,33,1736,3.3,1.32,1.63,17
"S2V Esports",10,"ES",49,40.8,0.95,1740,-26,604,12.5,13.1,5.7,6.7,46.9,46.9,1.98,38.2,1,52.1,0.73,-0.1,-25,0.67,48.1,32,1869,3.3,1.35,1.41,9
"Saigon Buffalo",10,"VN",67,37.3,0.83,1725,-119,399,13.3,16,4.7,7.2,43.3,37.3,2.18,47.4,0.84,42.5,0.99,-0.6,-1345,0.54,45,30.9,1920,3.3,1.34,1.44,35
"SAMCLAN Esports",10,"PT",51,51,1.04,1747,36,581,14.1,13.5,5.9,6.2,45.1,43.1,2.84,57.6,0.84,46.1,1.18,0,454,0.73,53.4,32.5,2006,3,1.09,1.41,27
"Samsung Morning Stars",10,"IT",53,62.3,1.33,1776,120,550,15.1,11.4,6.4,5.1,45.3,52.8,2.64,55.7,0.74,38.7,0.94,0.2,857,0.72,57.5,30.7,2061,3.1,1.22,1.27,14
"Sandbox Gaming",10,"KR",102,42.2,0.85,1705,-64,531,10.2,12,5,6,43.1,51,2.18,45.2,0.93,50,0.8,-0.1,-336,0.48,44.7,32.8,1700,3.7,1.6,1.86,17
"Santos e-Sports",10,"BR",42,66.7,1.19,1820,128,434,15.9,13.3,7,4.9,42.9,52.4,2.64,59.3,1.12,56,1.19,0,-130,0.79,71.2,31,2098,3.1,1.23,1.3,2
"Schalke Evolution",10,"DE",75,62.7,1.25,1796,80,550,14.1,11.3,6.9,5.6,53.3,50.7,2.63,53.5,1,53.4,0.99,-0.1,354,0.75,56,32.2,2078,3.3,1.09,1.39,8
"SDX Gaming",10,"CN",4,25,0.66,1716,-163,425,12.8,19.3,4.3,6.8,0,0,2.75,56.7,0,0,0,0,0,0.75,50,30.3,1808,3.4,1.29,1.53,5
"Sector One",10,"EUW",18,55.6,0.93,1772,8,476,15.9,17,6.3,5.5,50,72.2,2.61,54.7,1.06,58.3,1.22,0.8,313,0.72,53.1,30.2,2135,3.1,1.13,1.13,11
"Sengoku Gaming",10,"JP",44,54.5,0.95,1713,55,735,10.3,10.8,6.5,5.7,34.1,52.3,3.09,56.7,1.14,59.1,0.95,-0.1,547,0.77,56.3,32.2,1880,3.5,1.29,1.63,15
"SeolHaeOne Prince",10,"KR",87,27.6,0.61,1636,-213,528,9.8,16.2,4,7.5,50.6,39.1,1.9,36.9,0.83,43.1,0.63,-0.4,-1562,0.51,36.2,31.1,1745,3.6,1.4,1.67,17
"SINNERS Esports",10,"CZ",20,55,1.2,1816,127,543,17.2,14.3,7.8,5.4,60,75,3,60,1.2,60,1.1,0.5,1439,0.9,67.6,30.2,2076,3.1,1.29,1.22,6
"SK Gaming",10,"EUW",39,33.3,0.74,1694,-115,571,9.7,13,4.9,7.3,46.2,35.9,2.64,53.1,0.92,51.3,1.08,-0.1,-785,0.62,36.9,31.9,1687,3.3,1.19,1.31,11
"SK Gaming Prime",10,"DE",37,18.9,0.65,1667,-169,536,11,16.7,4.2,8.4,43.2,35.1,2.08,41.4,0.68,38.9,0.94,-0.7,-933,0.35,25.3,31.2,1899,3,1.2,1.26,8
"SLO REJECTS",10,"EUW",11,63.6,1.1,1807,41,536,18,16.4,7.1,5.3,63.6,36.4,3.27,61.6,1.27,63.6,1.09,-0.2,-774,0.82,47.7,31,2038,3.4,1.22,1.45,11
"SoftBank Hawks Gaming",10,"JP",33,36.4,0.88,1668,-67,533,10,11.4,4.5,6.7,36.4,36.4,2.39,50,0.64,31.8,0.94,-0.5,-408,0.58,40.9,31.9,1663,3.3,1.33,1.46,15
"Solary",10,"FR",29,37.9,0.81,1672,-103,641,12.5,15.4,5,7.4,37.9,31,2.55,47.6,0.62,34.5,0.9,-0.5,-930,0.79,51.2,29.7,1841,3.2,1.28,1.3,12
"soon to be named",10,"PL",5,60,1.23,1895,239,644,20,16.2,8.2,5.2,100,80,2.4,46.9,1.2,60,0.8,1.8,2094,1.2,73.3,31.4,2047,2.6,0.96,1.11,26
"Suning",10,"CN",119,55.5,1.05,1786,54,551,14,13.3,6.6,5.4,28.6,33.6,2.39,50,0.62,52.1,0.78,0,326,0.76,59.7,31.9,2039,3.9,1.36,1.61,5
"SuppUp eSports",10,"RS",12,25,0.68,1658,-186,596,11.8,17.4,4.6,7.8,41.7,41.7,1.83,33.2,0.92,45.8,0.67,-0.3,-1220,0.67,32.7,29.8,1969,3,1.1,1.25,29
"T1",10,"KR",113,63.7,1.45,1820,134,579,12.8,8.7,6.9,4.8,56.6,50.4,2.62,55.9,0.94,48.7,1.08,0.1,596,0.7,61.9,34.5,1793,4,1.45,1.84,17
"Team Aurora",10,"TR",44,36.4,0.78,1655,-177,454,12.5,15.9,4,7.3,45.5,29.5,2.11,44,0.84,43,0.89,-0.7,-1463,0.48,43.4,29.9,1707,3.2,1.32,1.3,32
"Team Brute",10,"CZ",28,28.6,0.65,1596,-230,529,10.1,15.6,3.9,7.9,21.4,32.1,1.96,37,0.46,23.2,0.82,-1,-1966,0.39,24,29.8,1669,2.8,1.03,1.05,6
"Team Dynamics",10,"KR",91,52.7,1.04,1740,5,491,12.2,11.8,5.7,5.4,36.3,56,2.66,57.2,1.01,53.8,1.04,0.2,-278,0.7,54.8,32,1819,3.4,1.37,1.69,17
"Team Flash",10,"VN",107,61.7,1.09,1820,63,455,15.3,14,6.8,5.2,54.2,49.5,2.58,54.8,0.99,54.4,1.05,0,344,0.75,56.7,32.1,1941,3.2,1.26,1.43,35
"Team Liquid",10,"N/A",60,60,1.28,1769,90,677,12,9.4,6.9,5.4,43.3,56.7,2.38,49.1,0.93,49.2,0.93,0.1,494,0.97,67,32.8,1788,3.2,1.18,1.45,22
"Team Liquid Academy",10,"N/A",39,28.2,0.68,1693,-127,674,11.1,16.3,4.8,7.5,43.6,41,1.62,29.6,0.79,39.7,0.56,-0.4,-672,0.59,38.7,31.7,1830,3.2,1.23,1.22,22
"Team MCES",10,"FR",27,14.8,0.65,1635,-192,567,10.4,16.1,4.4,8.1,51.9,44.4,2,39.3,0.81,40.7,1,0,-728,0.3,24,30.3,1692,3.2,1.24,1.27,12
"Team oNe eSports",10,"BR",50,52,1.12,1756,38,593,13.4,12,6.6,6.6,54,54,2.56,49.2,0.82,43,0.86,0.1,319,0.78,53.1,31.1,1872,3.4,1.32,1.31,2
"Team Queso",10,"ES",53,45.3,1.01,1696,-63,636,11.8,11.7,5.6,7,43.4,37.7,2.25,42.7,0.7,35.6,0.83,-0.3,-684,0.66,45.4,31.1,1854,3.2,1.31,1.29,9
"Team Sampi",10,"CZ",35,65.7,1.61,1891,245,470,18.5,11.5,8.1,4,60,74.3,2.83,60.4,1.54,78.6,1.26,0.8,2441,0.83,65.7,31.8,2066,3.2,1.29,1.18,6
"Team Secret",10,"VN",87,52.9,0.99,1797,19,414,13.8,13.9,6.4,5.9,48.3,50.6,2.2,48.1,0.98,55.7,0.81,0.3,377,0.72,59,31.8,1901,3,1.19,1.49,35
"Team Singularity",10,"EUW",6,0,0.33,1563,-496,126,7.3,22.3,1.3,9.2,33.3,0,1,27.8,0.33,16.7,0.83,-3.3,-4713,0.17,20,28.7,1794,2.8,1.17,0.87,11
"Team Vitality",10,"EUW",36,25,0.71,1662,-158,684,9.8,13.8,4.7,8.3,47.2,47.2,1.94,35.8,0.75,38.9,0.78,-0.4,-797,0.67,35.3,31.9,1612,3.8,1.58,1.33,11
"Team WE",10,"CN",105,51.4,1.04,1759,0,487,13.8,13.3,5.9,5.9,19,23.8,2.58,54.5,0.44,53.4,1.02,0.2,-217,0.68,53.7,31,1866,3.3,1.35,1.65,5
"Top Esports",10,"CN",129,66.7,1.29,1843,138,497,15.5,12,7.3,4.8,23.3,27.1,2.61,55.6,0.6,56.6,1.03,0.2,669,0.81,64.5,32.5,2102,3.3,1.3,1.61,5
"TSM",10,"N/A",77,53.2,1.13,1741,30,678,12,10.6,6.7,5.9,59.7,54.5,2.61,49.7,0.97,50.6,0.96,0.1,286,0.71,48.4,32.1,1798,3.4,1.36,1.44,22
"TSM Academy",10,"N/A",50,60,1.13,1744,45,607,13.8,12.1,6.3,5.8,58,46,2.78,56.2,0.9,45,0.96,0.1,358,0.78,55.9,30.9,1893,3.1,1.3,1.28,22
"UCAM Esports Club",10,"ES",44,50,0.99,1684,-30,693,11.4,11.5,6.6,6.2,47.7,50,2.86,55.2,0.8,40.7,1.21,0.2,209,0.61,48.8,30.3,1858,3.6,1.38,1.52,9
"Ulsan",10,"KR",2,0,0.59,1607,-285,592,8.5,14.5,2,9.5,50,0,1.5,25,0.5,25,1,-1,-552,0,0,32.6,1559,3.8,1.86,2.05,17
"Unicorns Of Love",10,"CIS",56,80.4,1.66,1904,279,298,18.5,11.1,8,2.8,58.9,75,2.59,65.2,1.34,69.4,1.09,0.9,1929,0.8,74.7,31,2260,2.8,0.94,1.33,4
"UOL Sexy Edition",10,"DE",59,54.2,1.01,1786,23,465,15.1,14.9,6.6,5.8,50.8,44.1,2.53,51.6,0.66,34.5,1.07,-0.2,-1021,0.73,55.7,31,2023,2.9,1.06,1.19,8
"V Gaming Adonis",10,"VN",34,26.5,0.75,1711,-183,402,14.4,19.1,4.4,7.6,41.2,35.3,1.94,42.7,0.56,30.6,0.84,-0.6,-1157,0.29,24.2,30.5,1890,3.2,1.29,1.22,35
"V3 Esports",10,"JP",54,63,1.35,1741,98,569,13.9,10.2,6.5,4.5,64.8,57.4,2.5,52.7,1.02,52.8,1.02,0.5,386,0.81,60.9,30.4,1903,3.4,1.29,1.52,15
"Vega Squadron",10,"CIS",29,20.7,0.56,1593,-263,406,9.1,16.3,3.4,7.9,41.4,44.8,1.38,30.6,0.69,37,0.89,-0.3,-1148,0.31,27.1,29.5,1585,3,1.2,1.21,4
"Vici Gaming",10,"CN",101,47.5,0.97,1737,-16,500,12.3,12.7,5.3,6.1,17.8,23.8,2.48,52.6,0.47,58.8,0.98,0.2,513,0.5,46.8,31.9,1808,3.4,1.37,1.61,5
"Victory Five",10,"CN",86,38.4,0.77,1704,-109,359,11.1,14.4,4.9,6.3,26.7,29.1,1.97,44.5,0.58,51,0.88,0.1,457,0.38,37.7,30.9,1721,3.1,1.26,1.41,5
"Vikingekrig Esports",10,"CZ",46,30.4,0.89,1664,-157,515,14.1,15.9,4,7.9,39.1,23.9,2.39,47.8,0.74,38,0.98,-0.9,-1719,0.57,38.6,29.1,1834,2.8,1.06,1.17,6
"Vipers Inc",10,"EUW",6,33.3,0.83,1727,-132,693,17.8,21.5,5.5,8.7,83.3,33.3,2.17,40.5,0.5,25,1,-0.7,-937,0.33,16.7,29,2353,2.8,1.19,1.21,11
"Vitality.Bee",10,"FR",44,52.3,1.19,1786,52,558,16.3,13.8,6.3,6.2,63.6,38.6,2.64,55.9,0.91,47.7,0.91,-0.2,372,0.64,47.2,31.3,2056,3.2,1.41,1.29,12
"Vivo Keyd",10,"BR",45,44.4,0.83,1725,-54,523,13.8,16.6,5.7,6.5,57.8,46.7,2.31,46.2,0.98,50,0.96,-0.2,-353,0.62,42.6,30.3,2006,3.1,1.36,1.39,2
"Vodafone Giants",10,"ES",77,71.4,1.32,1808,149,576,14.4,10.8,7.6,4.7,42.9,63.6,3.27,63.4,1.25,63.8,1.18,0.4,368,0.88,69.8,31.7,2122,3.3,1.19,1.52,9
"WLGaming Esports",10,"EUW",12,33.3,0.94,1779,-53,481,16.9,17.9,5.3,6.8,16.7,41.7,3.08,65.3,0.92,45.8,1.17,-0.2,-375,0.67,45.8,31,1888,2.9,1.13,1.19,11
"x6tence",10,"ES",18,38.9,0.7,1659,-113,607,9.7,13.9,5.1,7.3,44.4,33.3,2.56,48.9,0.67,33.3,1.06,-0.3,-836,0.61,44.1,30.8,1780,3,1.25,1.35,9
"XTEN Esports",10,"LAT",32,31.3,0.71,1618,-168,636,9.8,13.7,4.3,7.8,65.6,37.5,2.28,42,1,50,1.09,-0.2,-588,0.56,30.6,29.8,1576,3.2,1.37,1.41,20
"YDN Gamers",10,"IT",44,50,1.12,1715,-7,437,14.5,12.9,5.6,5.7,65.9,56.8,2.41,50.4,1.05,52.3,0.93,0,-175,0.7,56,29.6,1832,3,1.08,1.23,14
"Young Miracles",10,"CN",4,0,0.32,1547,-396,227,4.8,15,1.5,9.5,0,0,0.5,12.5,0,0,0,0,0,0.25,33.3,30.6,1079,3.4,1.35,1.34,5
"100 Thieves",9,"N/A",37,32.4,0.76,1696,-122,663,8.6,11.3,5,7.3,37.8,48.6,1.78,38.5,0.43,44.4,0.57,0,-879,0.57,37.2,32,1612,3.2,1.26,1.44,22
"100 Thieves Academy",9,"N/A",54,61.1,1.03,1832,56,589,14.3,13.8,6.9,5.3,33.3,57.4,2.78,60,0.59,60.4,1.11,0,-178,1,63.2,32.2,2073,3.2,1.31,1.43,22
"1907 Fenerbahce",9,"TR",53,67.9,1.29,1864,163,512,15.3,11.9,7.3,4.4,62.3,71.7,2.6,62.3,0.79,79.2,0.98,0.8,1437,0.89,65,32.6,1902,3.1,1.23,1.34,32
"ACTINA PACT",9,"PL",32,31.3,0.61,1689,-212,445,10.1,16.7,4.2,7.8,37.5,25,1.88,41.4,0.41,40.6,0.72,-0.8,-2020,0.47,32.3,30.9,1615,2.9,1.25,1.23,26
"Afreeca Freecs",9,"KR",98,42.9,0.81,1747,-83,617,10.7,13.2,5.3,6.3,46.9,54.1,2.24,48.7,0.54,55.2,0.89,0.2,85,0.67,44.8,32.7,1637,3.9,1.54,1.72,17
"Against All Authority",9,"FR",28,32.1,0.77,1701,-174,491,13.4,17.4,4.9,7.1,53.6,39.3,1.57,36.5,0.46,46.4,0.68,-0.4,-1015,0.61,37.5,28.7,1950,3.1,1.29,1.18,12
"ahq e-Sports Club",9,"TW",89,50.6,1.1,1771,12,609,11.7,10.6,6,5.7,57.3,50.6,2.28,52.7,0.53,53.4,0.73,0,166,0.6,49.2,32.5,1732,3.7,1.52,1.67,33
"Akademia",9,"PL",30,43.3,0.81,1729,-123,586,11.6,14.3,5.2,6.8,43.3,26.7,1.47,38.3,0.4,40,0.63,-0.6,-1419,0.53,34.2,32,1770,2.9,1.13,1.08,26
"All Knights",9,"LAT",54,66.7,1.16,1804,58,565,12.8,11,7.2,4.6,55.6,61.1,2.56,60.7,0.61,61.1,0.83,0.6,821,0.72,59.5,32.1,1882,3.9,1.36,1.47,20
"Alpha Esports",9,"TW",59,32.2,0.73,1721,-144,418,9.9,13.6,4.4,7.6,50.8,52.5,1.73,42.6,0.49,49.2,0.85,0.1,4,0.36,26.1,32.3,1697,3.3,1.39,1.25,33
"APK Prince",9,"KR",7,71.4,1.33,1764,119,673,12.6,9.4,6.9,5.1,71.4,57.1,2.57,53.8,0.71,71.4,0.86,-0.3,424,0.71,75,31.4,1699,4.3,1.43,2.08,17
"Armored Project",9,"SEA",19,21.1,0.61,1693,-335,201,14.2,22.9,2.9,7.9,42.1,42.1,1.16,38.1,0.26,26.3,0.53,-0.5,-2196,0.21,21.4,27.9,2007,2.7,1.17,1.06,30
"AS Trencin esports",9,"CZ",39,48.7,1.08,1812,18,524,15.1,13.9,6,6.4,51.3,38.5,1.67,38.8,0.51,51.3,0.38,-0.2,227,0.77,47.1,31.6,1907,3.1,1.09,1.18,6
"ASP Esports",9,"PT",14,14.3,0.41,1513,-429,306,6.8,16.5,2.3,9.1,28.6,14.3,0.86,22.6,0.21,21.4,0.36,-0.7,-3122,0.29,15.4,28.4,1522,2.9,1.03,0.94,27
"Asus ROG Elite",9,"EUW",6,16.7,0.62,1708,-201,499,11.5,18.7,3.2,8.8,33.3,16.7,1.17,30.8,0.5,50,0.83,-0.7,-928,0.5,33.3,30,1715,3.2,1.19,1.14,11
"Avant Gaming",9,"OCE",45,44.4,0.99,1800,7,563,12.7,12.8,6,6.3,55.6,48.9,2.13,48.9,0.6,60,0.87,0.1,155,0.71,47.9,32.3,1705,3.4,1.47,1.36,24
"AVEZ",10,"PL",18,50,1.08,1780,26,669,15.7,14.6,5.8,5.4,38.9,61.1,2.06,43.8,0.5,50,0.72,0.1,1,0.78,47.2,30.2,2033,3.3,1.05,1.52,26
"Axis Empire",9,"SEA",28,46.4,1.02,1807,-31,374,14.8,14.5,5.4,6.3,42.9,42.9,1.93,50,0.64,64.3,0.71,-0.4,-639,0.54,45.5,31.8,1932,3,1.03,1.03,30
"AXIZ",9,"JP",42,14.3,0.44,1585,-313,509,6.4,14.5,2.8,8.8,42.9,14.3,1.45,29.6,0.4,41.5,0.62,-0.8,-1990,0.33,17.9,30.8,1395,3.5,1.48,1.29,15
"Barrage Esports",9,"UK",9,22.2,0.79,1669,-157,570,12,15,4.4,8.4,22.2,33.3,1.67,40.6,0.56,55.6,0.67,-0.1,-621,0.56,33.3,30.1,1876,3.1,1.16,1.15,34
"Berlin International Gaming",9,"DE",27,74.1,1.35,1872,120,613,15.5,11.5,7.6,5,44.4,66.7,2.93,62.4,0.44,44.4,1.04,0.1,426,0.74,60.9,33.1,1856,3.3,1.25,1.44,8
"Besiktas Esports",9,"TR",43,48.8,0.95,1759,-42,623,13.8,14.4,5.7,6.5,46.5,44.2,2.28,48.7,0.4,39.5,0.77,-0.3,-519,0.7,50,30.8,1863,3.1,1.06,1.31,32
"Bilibili Gaming",9,"CN",84,56,1.18,1832,44,590,13.2,11.2,6.6,5.3,21.4,23.8,2.06,48.5,0,0,0,0,0,0.76,58.8,32.8,1961,3.7,1.43,1.72,5
"Boavista FC",9,"PT",35,25.7,0.71,1689,-192,467,13.9,19.6,4.2,7.8,45.7,37.1,1.83,42.5,0.57,57.1,0.69,-0.5,-1507,0.34,25.8,28.7,1768,2.8,0.98,1.02,27
"Bombers",9,"OCE",55,70.9,1.35,1892,174,457,16.7,12.4,7.6,4.1,60,65.5,2.4,63.6,0.67,67.3,0.89,0.4,1327,0.95,68.2,32.2,1995,3.4,1.28,1.3,24
"Bulldog Esports",9,"UK",9,22.2,0.69,1648,-180,611,11.2,16.2,3.9,8.3,77.8,33.3,1.67,39.6,0.44,44.4,0.78,-0.4,-276,0.44,37,30.1,1909,3.1,1.14,1.24,34
"Burning Core",9,"JP",42,47.6,0.88,1744,-21,585,11.2,12.7,5.7,6,50,47.6,2.17,49,0.55,56.1,0.79,-0.1,-124,0.67,47.5,31.6,1738,3.2,1.07,1.37,15
"Bursaspor Esports",9,"TR",36,19.4,0.61,1637,-233,529,8.1,13.2,3.5,8.2,47.2,44.4,1.47,30.7,0.42,42.9,0.72,-0.6,-1585,0.33,21.6,31,1513,3.1,1.27,1.28,32
"Campus Party Sparks",9,"IT",52,69.2,1.27,1862,125,452,17.3,13.6,7,4.8,53.8,71.2,2.12,56.1,0.44,46,0.79,0.5,696,0.85,65.4,30.8,2134,3,1.21,1.22,14
"Cerberus Esports",9,"VN",67,34.3,0.77,1755,-130,531,12,15.6,5,7.3,43.3,50.7,1.76,40.5,0.46,47,0.64,0.2,-298,0.49,32,32.7,1768,3.5,1.47,1.42,35
"Cherry Gaming",9,"VN",34,32.4,0.83,1779,-166,542,14.9,17.9,5.1,7.9,41.2,35.3,2.09,48,0.29,32.3,0.72,-0.5,-1676,0.56,33.9,31.6,1921,3.5,1.4,1.36,35
"Chiefs eSports Club",9,"OCE",48,70.8,1.28,1874,141,460,15,11.6,7.5,4.8,45.8,58.3,2.56,67.9,0.46,45.8,1.19,0.5,843,0.9,66,32.5,1874,3.2,1.24,1.35,24
"CLG",9,"N/A",53,50.9,0.95,1767,-16,630,10.5,11,6.2,6.5,47.2,47.2,2.15,45.4,0.4,41.2,0.74,-0.2,-294,0.81,51,32.7,1727,3.6,1.49,1.56,22
"CLG Academy",9,"N/A",39,41,0.86,1753,-79,537,13.4,15.5,5.2,6.7,53.8,46.2,1.64,37.3,0.46,46.2,0.64,-0.1,19,0.44,31,31.3,1920,3.1,1.13,1.33,22
"Cloud9",9,"N/A",61,59,1.11,1807,41,516,13.6,12.2,6.6,5.5,50.8,52.5,2.13,52.3,0.61,64.9,0.85,0.2,52,0.77,59.3,31.2,1970,3.3,1.28,1.37,22
"Cloud9 Academy",9,"N/A",48,70.8,1.34,1911,184,495,17.1,12.8,7.9,4.1,54.2,70.8,2.79,66.3,0.48,47.9,1.19,0.5,1382,0.96,67.9,32.4,2185,3.1,1.19,1.31,22
"Clutch Gaming",9,"N/A",77,46.8,0.98,1778,0,618,11.6,11.8,6.1,6.1,54.5,62.3,2.26,49.5,0.6,61.3,0.84,0.3,410,0.66,47.4,32.7,1810,3.8,1.55,1.57,22
"Clutch Gaming Academy",9,"N/A",36,25,0.68,1715,-182,534,11.4,16.8,4.5,7.9,27.8,50,1.5,34.9,0.42,41.7,0.81,-0.4,-1421,0.69,38.6,30.4,1791,3.2,1.22,1.21,22
"CNB e-Sports Club",9,"BR",45,37.8,0.77,1719,-132,646,10.2,13.2,5.1,7.9,48.9,42.2,2.13,42.8,0.53,53.3,0.96,0,-961,0.73,40.9,31.8,1740,3.4,1.36,1.42,2
"Crest Gaming Act",9,"JP",50,68,1.58,1795,102,549,13.5,8.5,6.2,4.8,46,54,2.32,53.6,0.5,50,0.76,0,137,0.64,52.6,32.5,1799,3.7,1.15,1.45,15
"Crvena Zvezda Esports",9,"EUW",9,22.2,0.64,1709,-255,405,12.2,19,3.4,8.2,11.1,22.2,0.89,23,0.56,55.6,0.67,-0.6,-1509,0.44,37.5,30.3,1869,2.9,1.25,1.16,11
"Cyberground Gaming",9,"IT",16,56.3,1.19,1883,158,509,17.6,14.8,7.4,4.3,43.8,81.3,2.31,62.3,0.75,75,1.13,0.9,1716,0.5,53.6,31.7,2197,3,1.23,1.21,14
"DAMWON Gaming",9,"KR",127,59.8,1.13,1873,109,547,12.6,11.1,6.7,4.8,33.9,50.4,2.64,61.5,0.53,54.5,1.02,0,101,0.8,62.6,34.7,1796,3.8,1.45,1.79,17
"Dark Passage",9,"TR",40,35,0.86,1721,-112,468,10.5,12.1,4.9,7.2,42.5,40,1.58,37.5,0.38,39.5,0.55,-0.4,-1122,0.58,38.5,31.8,1639,3.2,1.14,1.22,32
"DarkSpawn Gaming",9,"UK",8,12.5,0.39,1526,-363,455,5.4,13.6,2.4,9.4,25,12.5,0.88,17.1,0,0,0.5,-1.1,-2496,0.25,8.3,29.5,1149,3,1.16,0.98,34
"Dashing Buffalo",9,"VN",107,56.1,1.16,1879,89,490,15.6,13.3,6.8,5.1,53.3,57.9,2.37,56.8,0.53,53.8,1.01,0.3,1146,0.81,55.6,33.6,1869,3.6,1.46,1.52,35
"Defusekids",9,"EUW",6,33.3,0.62,1682,-179,679,11.5,18.5,4.8,7.3,66.7,50,2,38.9,0.33,33.3,0.67,-0.7,-433,1,70,30.6,1680,3.5,1.36,1.37,11
"Detonation FocusMe",9,"JP",59,81.4,1.69,1860,235,504,13.9,8.2,7.9,3.2,54.2,66.1,2.68,67.5,0.46,50,1.05,0.5,934,0.88,77.1,32,1908,3.7,1.36,1.5,15
"DeToNator",9,"SEA",18,44.4,1.03,1867,11,427,17.4,16.9,5.6,6.4,44.4,50,1.72,43.9,0.56,55.6,0.89,0.1,772,0.67,47.2,31.1,2252,2.9,1.17,1.22,30
"devils.one",10,"PL",68,57.4,1.08,1811,66,527,12.6,11.7,6.5,5.1,51.5,54.4,1.94,48.3,0.56,55.9,0.65,0.1,148,0.78,58.6,32.5,1854,3.4,1.35,1.32,26
"Diabolus Esports",9,"UK",27,63,1.1,1804,44,551,13.8,12.5,6.9,5.3,44.4,55.6,2.67,65.2,0.59,59.3,1,-0.1,-620,0.78,60.1,31.6,1868,3.2,1.17,1.38,34
"Dire Wolves",9,"OCE",46,30.4,0.75,1720,-158,553,11.8,15.8,5.2,7.3,45.7,43.5,1.91,42.5,0.54,54.3,0.65,0,-364,0.63,31.2,31,1747,3.3,1.32,1.13,24
"Dominus Esports",9,"CN",77,50.6,0.98,1812,-14,502,12.1,12.3,6.2,5.9,28.6,28.6,2.31,50.8,0,0,0,0,0,0.7,51.2,32.9,1710,3.2,1.17,1.57,5
"Doxa Gaming",9,"PT",14,64.3,1.26,1849,169,476,13.4,10.6,6.9,4.4,71.4,64.3,2.5,63.6,0.57,57.1,0.79,0.3,1051,0.86,71.4,32.7,1704,2.8,0.84,1.13,27
"Dragon Army",9,"CIS",28,35.7,0.86,1780,7,486,12.9,15,5.1,6.2,57.1,71.4,1.86,47.7,0.61,63,0.89,0.9,1448,0.43,33.3,31.5,1906,3.1,1.19,1.34,4
"Dragon Gate Team",9,"TW",33,21.2,0.54,1709,-218,433,9.8,18.1,4.1,7.9,36.4,45.5,1.36,41.2,0.61,60.6,0.64,0.1,-680,0.3,18.5,31.6,1815,3.1,1.19,1.31,33
"Dropz Esports",9,"IT",14,7.1,0.48,1599,-388,326,8.9,18.6,2.4,9.3,28.6,21.4,1.21,28,0.36,35.7,0.64,-1.1,-3420,0.36,23.1,29.1,1425,2.8,1.05,1.1,14
"E-Monkeyz Club",9,"ES",41,36.6,0.75,1716,-113,514,10.3,13.8,4.7,7.4,34.1,39,2.15,46.3,0.37,36.6,0.83,-0.3,-972,0.59,41.7,31.2,1746,3.2,1.24,1.26,9
"Echo Fox",9,"N/A",40,32.5,0.72,1718,-115,660,9.5,13.1,4.5,7.8,20,45,2.03,38.9,0.4,42.1,0.73,-0.2,-893,0.65,34.9,32.7,1740,3.1,1.09,1.41,22
"Echo Fox Academy",9,"N/A",49,46.9,1.07,1792,-8,560,13.8,12.9,5.1,6.3,59.2,36.7,1.94,44.4,0.37,37.5,0.82,-0.4,-101,0.59,42.2,32.4,1917,3.1,1.12,1.34,22
